feature,importance
materials_MATERIAL_NOMASS_GroundFloor_R2_5_thermal_resistance,3.0163959830050064e-17
site_location_SITE_GROUNDTEMPERATURE_BUILDINGSURFACE_2_6394267984578836_ground_temp_april,2.8598029078894874e-17
category_equipment_mean_change,2.834639871879483e-17
shading_WINDOWSHADINGCONTROL_ShadingCtrl_Zone1_RearPerimeter_Wall_0_window_shading_setpoint,2.3317195495052695e-17
shading_WINDOWSHADINGCONTROL_ShadingCtrl_Zone1_Wall_3_window_shading_setpoint,2.2455347749340266e-17
materials_MATERIAL_NOMASS_InternalFloor_Generic_R1_0_thermal_resistance,2.0957267727697534e-17
materials_MATERIAL_NOMASS_Door_U3_4_thermal_resistance,1.693652459702054e-17
shading_WINDOWSHADINGCONTROL_ShadingCtrl_Zone1_FrontPerimeter_Wall_0_window_shading_setpoint,1.528664674257037e-17
materials_MATERIAL_NOMASS_InteriorWall_Generic_R0_5_thermal_resistance,1.414023141740438e-17
site_location_SITE_GROUNDTEMPERATURE_BUILDINGSURFACE_2_4085358792544938_ground_temp_august,1.4098115174564347e-17
site_location_SITE_GROUNDTEMPERATURE_BUILDINGSURFACE_2_6394267984578836_ground_temp_february,1.4003207390102907e-17
shading_WINDOWSHADINGCONTROL_ShadingCtrl_Zone2_RearPerimeter_Wall_0_window_shading_setpoint,1.3974531173141716e-17
site_location_SITE_GROUNDTEMPERATURE_BUILDINGSURFACE_2_6394267984578836_ground_temp_march,1.2496055324614712e-17
materials_MATERIAL_NOMASS_Roof_R2_5_thermal_resistance,1.1165148024842788e-17
site_location_SITE_GROUNDTEMPERATURE_BUILDINGSURFACE_2_6394267984578836_ground_temp_august,1.113490228144067e-17
site_location_SITE_GROUNDTEMPERATURE_BUILDINGSURFACE_2_6394267984578836_ground_temp_november,1.0964232789780398e-17
shading_WINDOWSHADINGCONTROL_ShadingCtrl_Zone2_LeftPerimeter_Wall_0_window_shading_setpoint,1.0056006236605379e-17
shading_WINDOWSHADINGCONTROL_ShadingCtrl_Zone2_FrontPerimeter_Wall_0_window_shading_setpoint,9.30729395811941e-18
geometry_FENESTRATIONSURFACE_DETAILED_Zone2_RearPerimeter_Wall_0_window_window_multiplier,6.195191914878792e-18
num_parameters_changed,0.0
max_change,0.0
site_location_SITE_GROUNDTEMPERATURE_BUILDINGSURFACE_2_03855183933738_ground_temp_march,0.0
category_ventilation_mean_change,0.0
lighting_LIGHTS_Lights_ALL_ZONES_return_air_fraction,0.0
category_simulation_control_mean_change,0.0
geometry_FENESTRATIONSURFACE_DETAILED_Zone2_LeftPerimeter_Wall_0_window_window_multiplier,0.0
ventilation_DESIGNSPECIFICATION_OUTDOORAIR_DSOA_Global_outdoor_air_flow_per_zone_area,0.0
ventilation_DESIGNSPECIFICATION_OUTDOORAIR_DSOA_Global_outdoor_air_flow_per_person,0.0
lighting_LIGHTS_Lights_ALL_ZONES_fraction_radiant,0.0
lighting_LIGHTS_Lights_ALL_ZONES_fraction_visible,0.0
simulation_control_Timestep_4_timesteps_per_hour,0.0
