level,parameter,category,output_variable,sensitivity_score,p_value,ci_lower,ci_upper,n_samples,elasticity,param_change,output_change,building_id,object_type,object_name,field_name,zone_name,interaction_type,avg_zone_param_change,avg_output_change,significance,confidence_level,time_slice,analysis_type
building,geometry*FENESTRATIONSURFACE:DETAILED*Zone1_RearPerimeter_Wall_0 window*window_multiplier,geometry,Zone Air System Sensible Cooling Energy,,0.05,0,0,1,,16.220590117150454,,4136733,FENESTRATIONSURFACE:DETAILED,Zone1_RearPerimeter_Wall_0 window,window_multiplier,,,,,,low,peak_months,modification
building,geometry*FENESTRATIONSURFACE:DETAILED*Zone1_RearPerimeter_Wall_0 window*window_multiplier,geometry,Zone Air System Sensible Cooling Energy,,0.05,0,0,1,,14.56799492497737,,4136737,FENESTRATIONSURFACE:DETAILED,Zone1_RearPerimeter_Wall_0 window,window_multiplier,,,,,,low,peak_months,modification
building,geometry*FENESTRATIONSURFACE:DETAILED*Zone2_FrontPerimeter_Wall_0 window*window_multiplier,geometry,Zone Air System Sensible Heating Energy,6.124803983707914,0.05,0,0,1,-6.124803983707914,12.799174807608098,-78.39243684981206,4136733,FENESTRATIONSURFACE:DETAILED,Zone2_FrontPerimeter_Wall_0 window,window_multiplier,,,,,,low,peak_months,modification
building,geometry*FENESTRATIONSURFACE:DETAILED*Zone2_FrontPerimeter_Wall_0 window*window_multiplier,geometry,Zone Air System Sensible Cooling Energy,,0.05,0,0,1,,12.799174807608098,,4136733,FENESTRATIONSURFACE:DETAILED,Zone2_FrontPerimeter_Wall_0 window,window_multiplier,,,,,,low,peak_months,modification
building,geometry*FENESTRATIONSURFACE:DETAILED*Zone2_LeftPerimeter_Wall_0 window*window_multiplier,geometry,Zone Air System Sensible Heating Energy,5.491616988093027,0.05,0,0,1,-5.491616988093027,14.274927952874945,-78.39243684981206,4136733,FENESTRATIONSURFACE:DETAILED,Zone2_LeftPerimeter_Wall_0 window,window_multiplier,,,,,,low,peak_months,modification
building,geometry*FENESTRATIONSURFACE:DETAILED*Zone2_LeftPerimeter_Wall_0 window*window_multiplier,geometry,Zone Air System Sensible Cooling Energy,,0.05,0,0,1,,14.274927952874945,,4136733,FENESTRATIONSURFACE:DETAILED,Zone2_LeftPerimeter_Wall_0 window,window_multiplier,,,,,,low,peak_months,modification
building,geometry*FENESTRATIONSURFACE:DETAILED*Zone2_RearPerimeter_Wall_0 window*window_multiplier,geometry,Zone Air System Sensible Heating Energy,5.400238939229711,0.05,0,0,1,-5.400238939229711,14.516475610057718,-78.39243684981206,4136733,FENESTRATIONSURFACE:DETAILED,Zone2_RearPerimeter_Wall_0 window,window_multiplier,,,,,,low,peak_months,modification
building,geometry*FENESTRATIONSURFACE:DETAILED*Zone2_RearPerimeter_Wall_0 window*window_multiplier,geometry,Zone Air System Sensible Cooling Energy,,0.05,0,0,1,,14.516475610057718,,4136733,FENESTRATIONSURFACE:DETAILED,Zone2_RearPerimeter_Wall_0 window,window_multiplier,,,,,,low,peak_months,modification
building,lighting*LIGHTS*Lights_ALL_ZONES*fraction_radiant,lighting,Zone Air System Sensible Heating Energy,0.7839243684981205,0.05,0,0,1,-0.7839243684981205,100.0,-78.39243684981206,4136733,LIGHTS,Lights_ALL_ZONES,fraction_radiant,,,,,,low,peak_months,modification
building,lighting*LIGHTS*Lights_ALL_ZONES*fraction_radiant,lighting,Zone Air System Sensible Heating Energy,0.848147363699271,0.05,0,0,1,-0.848147363699271,100.0,-84.8147363699271,4136737,LIGHTS,Lights_ALL_ZONES,fraction_radiant,,,,,,low,peak_months,modification
