Date/Time,Heating:EnergyTransfer [J](Monthly),Cooling:EnergyTransfer [J](Monthly),Electricity:Facility [J](Daily) 
 01/01,,,16273552.522246568 
 01/02,,,16273552.522246568 
 01/03,,,16273552.522246568 
 01/04,,,16273552.522246568 
 01/05,,,2348478.739210502 
 01/06,,,2348478.739210502 
 01/07,,,16273552.522246568 
 01/08,,,16273552.522246568 
 01/09,,,16273552.522246568 
 01/10,,,16273552.522246568 
 01/11,,,16273552.522246568 
 01/12,,,2348478.739210502 
 01/13,,,2348478.739210502 
 01/14,,,16273552.522246568 
 01/15,,,16273552.522246568 
 01/16,,,16273552.522246568 
 01/17,,,16273552.522246568 
 01/18,,,16273552.522246568 
 01/19,,,2348478.739210502 
 01/20,,,2348478.739210502 
 01/21,,,16273552.522246568 
 01/22,,,16273552.522246568 
 01/23,,,16273552.522246568 
 01/24,,,16273552.522246568 
 01/25,,,16273552.522246568 
 01/26,,,2348478.739210502 
 01/27,,,2348478.739210502 
 01/28,,,16273552.522246568 
 01/29,,,16273552.522246568 
 01/30,,,16273552.522246568 
 01/31,3491945148.013601,0.0,16273552.522246568 
 02/01,,,16273552.522246568 
 02/02,,,2348478.739210502 
 02/03,,,2348478.739210502 
 02/04,,,16273552.522246568 
 02/05,,,16273552.522246568 
 02/06,,,16273552.522246568 
 02/07,,,16273552.522246568 
 02/08,,,16273552.522246568 
 02/09,,,2348478.739210502 
 02/10,,,2348478.739210502 
 02/11,,,16273552.522246568 
 02/12,,,16273552.522246568 
 02/13,,,16273552.522246568 
 02/14,,,16273552.522246568 
 02/15,,,16273552.522246568 
 02/16,,,2348478.739210502 
 02/17,,,2348478.739210502 
 02/18,,,16273552.522246568 
 02/19,,,16273552.522246568 
 02/20,,,16273552.522246568 
 02/21,,,16273552.522246568 
 02/22,,,16273552.522246568 
 02/23,,,2348478.739210502 
 02/24,,,2348478.739210502 
 02/25,,,16273552.522246568 
 02/26,,,16273552.522246568 
 02/27,,,16273552.522246568 
 02/28,2546326485.0268517,0.0,16273552.522246568 
 03/01,,,16273552.522246568 
 03/02,,,2348478.739210502 
 03/03,,,2348478.739210502 
 03/04,,,16273552.522246568 
 03/05,,,16273552.522246568 
 03/06,,,16273552.522246568 
 03/07,,,16273552.522246568 
 03/08,,,16273552.522246568 
 03/09,,,2348478.739210502 
 03/10,,,2348478.739210502 
 03/11,,,16273552.522246568 
