Date/Time,Heating:EnergyTransfer [J](Monthly),Cooling:EnergyTransfer [J](Monthly),Electricity:Facility [J](Daily) 
 01/01,,,20848568.606660657 
 01/02,,,20848568.606660657 
 01/03,,,20848568.606660657 
 01/04,,,20848568.606660657 
 01/05,,,2636770.0420664693 
 01/06,,,2636770.0420664693 
 01/07,,,20848568.606660657 
 01/08,,,20848568.606660657 
 01/09,,,20848568.606660657 
 01/10,,,20848568.606660657 
 01/11,,,20848568.606660657 
 01/12,,,2636770.0420664693 
 01/13,,,2636770.0420664693 
 01/14,,,20848568.606660657 
 01/15,,,20848568.606660657 
 01/16,,,20848568.606660657 
 01/17,,,20848568.606660657 
 01/18,,,20848568.606660657 
 01/19,,,2636770.0420664693 
 01/20,,,2636770.0420664693 
 01/21,,,20848568.606660657 
 01/22,,,20848568.606660657 
 01/23,,,20848568.606660657 
 01/24,,,20848568.606660657 
 01/25,,,20848568.606660657 
 01/26,,,2636770.0420664693 
 01/27,,,2636770.0420664693 
 01/28,,,20848568.606660657 
 01/29,,,20848568.606660657 
 01/30,,,20848568.606660657 
 01/31,3139520524.4221244,0.0,20848568.606660657 
 02/01,,,20848568.606660657 
 02/02,,,2636770.0420664693 
 02/03,,,2636770.0420664693 
 02/04,,,20848568.606660657 
 02/05,,,20848568.606660657 
 02/06,,,20848568.606660657 
 02/07,,,20848568.606660657 
 02/08,,,20848568.606660657 
 02/09,,,2636770.0420664693 
 02/10,,,2636770.0420664693 
 02/11,,,20848568.606660657 
 02/12,,,20848568.606660657 
 02/13,,,20848568.606660657 
 02/14,,,20848568.606660657 
 02/15,,,20848568.606660657 
 02/16,,,2636770.0420664693 
 02/17,,,2636770.0420664693 
 02/18,,,20848568.606660657 
 02/19,,,20848568.606660657 
 02/20,,,20848568.606660657 
 02/21,,,20848568.606660657 
 02/22,,,20848568.606660657 
 02/23,,,2636770.0420664693 
 02/24,,,2636770.0420664693 
 02/25,,,20848568.606660657 
 02/26,,,20848568.606660657 
 02/27,,,20848568.606660657 
 02/28,2326888454.441756,0.0,20848568.606660657 
 03/01,,,20848568.606660657 
 03/02,,,2636770.0420664693 
 03/03,,,2636770.0420664693 
 03/04,,,20848568.606660657 
 03/05,,,20848568.606660657 
 03/06,,,20848568.606660657 
 03/07,,,20848568.606660657 
 03/08,,,20848568.606660657 
 03/09,,,2636770.0420664693 
 03/10,,,2636770.0420664693 
 03/11,,,20848568.606660657 
 03/12,,,20848568.606660657 
 03/13,,,20848568.606660657 
 03/14,,,20848568.606660657 
 03/15,,,20848568.606660657 
 03/16,,,2636770.0420664693 
 03/17,,,2636770.0420664693 
 03/18,,,20848568.606660657 
 03/19,,,20848568.606660657 
 03/20,,,20848568.606660657 
 03/21,,,20848568.606660657 
 03/22,,,20848568.606660657 
 03/23,,,2636770.0420664693 
 03/24,,,2636770.0420664693 
 03/25,,,20848568.606660657 
 03/26,,,20848568.606660657 
 03/27,,,20848568.606660657 
 03/28,,,20848568.606660657 
 03/29,,,20848568.606660657 
 03/30,,,2636770.0420664693 
 03/31,2040838477.263542,0.0,2636770.0420664693 
 04/01,,,20848568.606660657 
 04/02,,,20848568.606660657 
 04/03,,,20848568.606660657 
 04/04,,,20848568.606660657 
 04/05,,,20848568.606660657 
 04/06,,,2636770.0420664693 
 04/07,,,2636770.0420664693 
 04/08,,,20848568.606660657 
 04/09,,,20848568.606660657 
 04/10,,,20848568.606660657 
 04/11,,,20848568.606660657 
 04/12,,,20848568.606660657 
 04/13,,,2636770.0420664693 
 04/14,,,2636770.0420664693 
 04/15,,,20848568.606660657 
 04/16,,,20848568.606660657 
 04/17,,,20848568.606660657 
 04/18,,,20848568.606660657 
 04/19,,,20848568.606660657 
 04/20,,,2636770.0420664693 
 04/21,,,2636770.0420664693 
 04/22,,,20848568.606660657 
 04/23,,,20848568.606660657 
 04/24,,,20848568.606660657 
 04/25,,,20848568.606660657 
 04/26,,,20848568.606660657 
 04/27,,,2636770.0420664693 
 04/28,,,2636770.0420664693 
 04/29,,,20848568.606660657 
 04/30,1279345990.3773649,0.0,20848568.606660657 
 05/01,,,20848568.606660657 
 05/02,,,20848568.606660657 
 05/03,,,20848568.606660657 
 05/04,,,2636770.0420664693 
 05/05,,,2636770.0420664693 
 05/06,,,20848568.606660657 
 05/07,,,20848568.606660657 
 05/08,,,20848568.606660657 
 05/09,,,20848568.606660657 
 05/10,,,20848568.606660657 
 05/11,,,2636770.0420664693 
 05/12,,,2636770.0420664693 
 05/13,,,20848568.606660657 
 05/14,,,20848568.606660657 
 05/15,,,20848568.606660657 
 05/16,,,20848568.606660657 
 05/17,,,20848568.606660657 
 05/18,,,2636770.0420664693 
 05/19,,,2636770.0420664693 
 05/20,,,20848568.606660657 
 05/21,,,20848568.606660657 
 05/22,,,20848568.606660657 
 05/23,,,20848568.606660657 
 05/24,,,20848568.606660657 
 05/25,,,2636770.0420664693 
 05/26,,,2636770.0420664693 
 05/27,,,20848568.606660657 
 05/28,,,20848568.606660657 
 05/29,,,20848568.606660657 
 05/30,,,20848568.606660657 
 05/31,223380888.6239298,8649735.913641486,20848568.606660657 
 06/01,,,2636770.0420664693 
 06/02,,,2636770.0420664693 
 06/03,,,20848568.606660657 
 06/04,,,20848568.606660657 
 06/05,,,20848568.606660657 
 06/06,,,20848568.606660657 
 06/07,,,20848568.606660657 
 06/08,,,2636770.0420664693 
 06/09,,,2636770.0420664693 
 06/10,,,20848568.606660657 
 06/11,,,20848568.606660657 
 06/12,,,20848568.606660657 
 06/13,,,20848568.606660657 
 06/14,,,20848568.606660657 
 06/15,,,2636770.0420664693 
 06/16,,,2636770.0420664693 
 06/17,,,20848568.606660657 
 06/18,,,20848568.606660657 
 06/19,,,20848568.606660657 
 06/20,,,20848568.606660657 
 06/21,,,20848568.606660657 
 06/22,,,2636770.0420664693 
 06/23,,,2636770.0420664693 
 06/24,,,20848568.606660657 
 06/25,,,20848568.606660657 
 06/26,,,20848568.606660657 
 06/27,,,20848568.606660657 
 06/28,,,20848568.606660657 
 06/29,,,2636770.0420664693 
 06/30,56538943.24770168,106159069.83981544,2636770.0420664693 
 07/01,,,20848568.606660657 
 07/02,,,20848568.606660657 
 07/03,,,20848568.606660657 
 07/04,,,20848568.606660657 
 07/05,,,20848568.606660657 
 07/06,,,2636770.0420664693 
 07/07,,,2636770.0420664693 
 07/08,,,20848568.606660657 
 07/09,,,20848568.606660657 
 07/10,,,20848568.606660657 
 07/11,,,20848568.606660657 
 07/12,,,20848568.606660657 
 07/13,,,2636770.0420664693 
 07/14,,,2636770.0420664693 
 07/15,,,20848568.606660657 
 07/16,,,20848568.606660657 
 07/17,,,20848568.606660657 
 07/18,,,20848568.606660657 
 07/19,,,20848568.606660657 
 07/20,,,2636770.0420664693 
 07/21,,,2636770.0420664693 
 07/22,,,20848568.606660657 
 07/23,,,20848568.606660657 
 07/24,,,20848568.606660657 
 07/25,,,20848568.606660657 
 07/26,,,20848568.606660657 
 07/27,,,2636770.0420664693 
 07/28,,,2636770.0420664693 
 07/29,,,20848568.606660657 
 07/30,,,20848568.606660657 
 07/31,13874886.560374841,213505639.64364493,20848568.606660657 
 08/01,,,20848568.606660657 
 08/02,,,20848568.606660657 
 08/03,,,2636770.0420664693 
 08/04,,,2636770.0420664693 
 08/05,,,20848568.606660657 
 08/06,,,20848568.606660657 
 08/07,,,20848568.606660657 
 08/08,,,20848568.606660657 
 08/09,,,20848568.606660657 
 08/10,,,2636770.0420664693 
 08/11,,,2636770.0420664693 
 08/12,,,20848568.606660657 
 08/13,,,20848568.606660657 
 08/14,,,20848568.606660657 
 08/15,,,20848568.606660657 
 08/16,,,20848568.606660657 
 08/17,,,2636770.0420664693 
 08/18,,,2636770.0420664693 
 08/19,,,20848568.606660657 
 08/20,,,20848568.606660657 
 08/21,,,20848568.606660657 
 08/22,,,20848568.606660657 
 08/23,,,20848568.606660657 
 08/24,,,2636770.0420664693 
 08/25,,,2636770.0420664693 
 08/26,,,20848568.606660657 
 08/27,,,20848568.606660657 
 08/28,,,20848568.606660657 
 08/29,,,20848568.606660657 
 08/30,,,20848568.606660657 
 08/31,17079422.508455507,149709045.23311144,2636770.0420664693 
 09/01,,,2636770.0420664693 
 09/02,,,20848568.606660657 
 09/03,,,20848568.606660657 
 09/04,,,20848568.606660657 
 09/05,,,20848568.606660657 
 09/06,,,20848568.606660657 
 09/07,,,2636770.0420664693 
 09/08,,,2636770.0420664693 
 09/09,,,20848568.606660657 
 09/10,,,20848568.606660657 
 09/11,,,20848568.606660657 
