VariableName,01/01,01/02,01/03,01/04,01/05,01/06,01/07,01/08,01/09,01/10,01/11,01/12,01/13,01/14,01/15,01/16,01/17,01/18,01/19,01/20,01/21,01/22,01/23,01/24,01/25,01/26,01/27,01/28,01/29,01/30
ZONE1_CORE_FLOOR:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),-723.4229308049465,-729.900812398883,-676.9413096066792,-620.4546937799332,-319.0026352470973,18.339592691065725,-574.0247311512576,-659.98860212191,-712.3616870437621,-748.4874651661822,-714.6641092721621,-444.1807252842687,-93.26130830103814,-719.9825586825024,-788.8328671950388,-764.996813088807,-735.8292976911961,-782.3115921609339,-487.1974909834533,-245.247868337416,-732.1611755179165,-789.7505176428436,-780.6057757928238,-779.8503035385065,-761.6857423726145,-558.0935627714716,-144.70887430375262,-744.0374229362982,-787.3183941179628,-750.1494091745577
ZONE1_CORE_FLOOR:Surface Inside Face Temperature [C](Hourly),8.706558689224563,8.654188176637216,8.174176639280594,7.662196241551847,4.929911034430025,1.872326410132092,7.241366804609282,8.020521586776608,8.495217980889052,8.82265289588036,8.516086553576274,6.064493579093828,2.883848747601809,8.564291633745318,9.188333414618034,8.972289449459582,8.707922467733663,9.129226227246424,6.4543866624257005,4.26141648321405,8.674675536195872,9.19665076615993,9.113765139167157,9.106917729748526,8.9422787420137,7.096970724157525,3.3501564723385058,8.782318838733904,9.17460661372897,8.83771633598838
ZONE1_CORE_FLOOR:Surface Outside Face Temperature [C](Hourly),2.1496362321308937,2.03855183933738,2.03855183933738,2.03855183933738,2.03855183933738,2.03855183933738,2.03855183933738,2.03855183933738,2.03855183933738,2.03855183933738,2.03855183933738,2.03855183933738,2.03855183933738,2.03855183933738,2.03855183933738,2.03855183933738,2.03855183933738,2.03855183933738,2.03855183933738,2.03855183933738,2.03855183933738,2.03855183933738,2.03855183933738,2.03855183933738,2.03855183933738,2.03855183933738,2.03855183933738,2.03855183933738,2.03855183933738,2.03855183933738
ZONE1_CORE_ROOF:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),-206.7130180266592,-194.8548434680075,-294.16800717721065,-357.42032934360344,-284.84463552909,-111.26951516161856,-293.8997095485919,-212.65183670577653,-149.5464467080524,-146.163940287481,-201.95983261567685,-157.03052691791677,-47.43462151642826,-108.52164578982122,-76.82971151887624,-149.55884761015318,-162.44734692598072,-120.70489168391605,-96.10564560611613,52.855361266823934,-113.34335579650116,-94.55869951368364,-118.5908257508938,-130.0070818202252,-141.239209972074,-28.05704090746441,-34.52714694393479,-74.89511241080702,-88.61782083891353,-183.55729739629444
ZONE1_CORE_ROOF:Surface Inside Face Temperature [C](Hourly),9.726043082624036,9.702635187082302,8.978647417915935,8.256861185328583,5.067776696317422,1.6292281356360698,7.856375843444058,8.912860667211058,9.565787927532758,9.978809252681096,9.519790620036115,6.643408451074982,2.9865412977752364,9.723615609102962,10.516027177777726,10.148780960763371,9.7969145151547,10.380422924341,7.21040527342048,4.843515149325277,9.836572504919324,10.500047976147078,10.355245690073074,10.333515194520515,10.118787356756398,8.108545087681861,3.5795266071730816,10.03087408510602,10.478059826695564,9.933231492111886
ZONE1_CORE_ROOF:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),22.07980364407395,30.400833383827585,39.98650555073328,41.23011576071191,42.25221276314912,17.917495740377177,35.55724846653441,6.461482506509429,22.60629959698152,25.33301803072422,37.36481255129694,37.54491481338654,26.73395190095076,10.538871037998424,8.21366062437862,38.6640008019414,42.89707585207251,14.315836765198418,30.63011987245648,37.71403745012478,42.655618860034174,25.52682560922072,46.734037044604726,44.8937575380013,21.78588258330857,5.227734382929479,43.41357403736922,27.76689358105679,12.958673294817943,59.38269731197765
ZONE1_CORE_ROOF:Surface Outside Face Temperature [C](Hourly),0.9913454866167564,1.4690069954079987,-3.4514772527115216,-6.846002297991433,-6.968387145432682,-3.07248623082798,-4.562411860242069,-0.0727828330978055,3.2466745933943444,3.802624365828155,0.9859397707844294,0.0080538949686446,0.9821824118069294,5.1380129816339135,7.269573215118668,3.829143624165889,2.9326712071249688,5.280014941899139,3.1494430773665845,7.076928416669101,5.047227610968733,6.504452279231521,5.344167962683599,4.840041411981137,4.1506978789764455,6.922989528070704,2.120575495689223,6.866166972934676,6.733497079586745,2.1769832422303463
ZONE1_CORE_WALL_0:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),16.380412877154527,16.845275275525537,15.655223256557084,15.37274880123564,1.6770788600043236,-7.683625965426294,24.88326904376895,22.41703040265754,19.299480772876635,18.453774186756338,16.908114339839262,2.387818555174467,-13.398484087269862,21.83236459995781,17.499518810015275,16.30533191145499,14.820682347293626,16.294750665983813,0.4335141225416571,-16.497065908125975,18.529279118088592,16.047801582080336,14.68291071405792,14.801215330706183,15.466259832395007,2.085236255746065,-15.518646084723832,18.38262669064809,16.326941221625432,14.410152301130486
ZONE1_CORE_WALL_0:Surface Inside Face Temperature [C](Hourly),10.085039982293807,10.044841007535588,9.4705667393075,8.851764590411458,5.527494497043911,1.7973069074534962,8.391888177826077,9.313897604628862,9.860824009829567,10.25490995887574,9.87946093847954,6.895933117288611,3.002047907340653,9.953574884442798,10.680327327977604,10.421617818912337,10.09172386655313,10.607193913302927,7.3536369478697345,4.658233451386756,10.065591053288612,10.685190389306632,10.577952331975382,10.571215264103076,10.37842782476256,8.131274097322075,3.562717660565184,10.192785858440017,10.658128182460448,10.25343572376981
ZONE1_CORE_WALL_0:Surface Outside Face Temperature [C](Hourly),10.316873606621618,10.283253875954273,9.692136682290467,9.06933664413191,5.551230362147813,1.688559779471855,8.74406357723781,9.631168081502066,10.13397149449774,10.516088073513464,10.11876317447024,6.929728152495286,2.81241781988526,10.262570527642582,10.92799977067755,10.652388814811506,10.30148246844871,10.837815151774985,7.359772516672539,4.424748825026106,10.327837796783047,10.912316532656538,10.785761038144758,10.78069834736282,10.597323349474305,8.16078665493432,3.3430807079765343,10.452957015438251,10.88920501709113,10.457384052797956
