timestamp,building_id,electricity_facility
2013-01-02,4136733,6399384.977889667
2013-01-03,4136733,6399384.977889667
2013-01-04,4136733,6399384.977889667
2013-01-05,4136733,6399384.977889667
2013-01-06,4136733,8595361.105484402
2013-01-07,4136733,8595361.105484402
2013-01-08,4136733,6399384.977889667
2013-01-09,4136733,6399384.977889667
2013-01-10,4136733,6399384.977889667
2013-01-11,4136733,6399384.977889667
2013-01-12,4136733,6399384.977889667
2013-01-13,4136733,8595361.105484402
2013-01-14,4136733,8595361.105484402
2013-01-15,4136733,6399384.977889667
2013-01-16,4136733,6399384.977889667
2013-01-17,4136733,6399384.977889667
2013-01-18,4136733,6399384.977889667
2013-01-19,4136733,6399384.977889667
2013-01-20,4136733,8595361.105484402
2013-01-21,4136733,8595361.105484402
2013-01-22,4136733,6399384.977889667
2013-01-23,4136733,6399384.977889667
2013-01-24,4136733,6399384.977889667
2013-01-25,4136733,6399384.977889667
2013-01-26,4136733,6399384.977889667
2013-01-27,4136733,8595361.105484402
2013-01-28,4136733,8595361.105484402
2013-01-29,4136733,6399384.977889667
2013-01-30,4136733,6399384.977889667
2013-01-31,4136733,6399384.977889667
2013-02-01,4136733,6399384.977889667
2013-02-02,4136733,6399384.977889667
2013-02-03,4136733,8595361.105484402
2013-02-04,4136733,8595361.105484402
2013-02-05,4136733,6399384.977889667
2013-02-06,4136733,6399384.977889667
2013-02-07,4136733,6399384.977889667
2013-02-08,4136733,6399384.977889667
2013-02-09,4136733,6399384.977889667
2013-02-10,4136733,8595361.105484402
2013-02-11,4136733,8595361.105484402
2013-02-12,4136733,6399384.977889667
2013-02-13,4136733,6399384.977889667
2013-02-14,4136733,6399384.977889667
2013-02-15,4136733,6399384.977889667
2013-02-16,4136733,6399384.977889667
2013-02-17,4136733,8595361.105484402
2013-02-18,4136733,8595361.105484402
2013-02-19,4136733,6399384.977889667
2013-02-20,4136733,6399384.977889667
2013-02-21,4136733,6399384.977889667
2013-02-22,4136733,6399384.977889667
2013-02-23,4136733,6399384.977889667
2013-02-24,4136733,8595361.105484402
2013-02-25,4136733,8595361.105484402
2013-02-26,4136733,6399384.977889667
2013-02-27,4136733,6399384.977889667
2013-02-28,4136733,6399384.977889667
2013-03-01,4136733,6399384.977889667
2013-03-02,4136733,6399384.977889667
2013-03-03,4136733,8595361.105484402
2013-03-04,4136733,8595361.105484402
2013-03-05,4136733,6399384.977889667
2013-03-06,4136733,6399384.977889667
2013-03-07,4136733,6399384.977889667
2013-03-08,4136733,6399384.977889667
2013-03-09,4136733,6399384.977889667
2013-03-10,4136733,8595361.105484402
2013-03-11,4136733,8595361.105484402
2013-03-12,4136733,6399384.977889667
2013-03-13,4136733,6399384.977889667
2013-03-14,4136733,6399384.977889667
2013-03-15,4136733,6399384.977889667
2013-03-16,4136733,6399384.977889667
2013-03-17,4136733,8595361.105484402
2013-03-18,4136733,8595361.105484402
2013-03-19,4136733,6399384.977889667
2013-03-20,4136733,6399384.977889667
2013-03-21,4136733,6399384.977889667
2013-03-22,4136733,6399384.977889667
2013-03-23,4136733,6399384.977889667
2013-03-24,4136733,8595361.105484402
2013-03-25,4136733,8595361.105484402
2013-03-26,4136733,6399384.977889667
2013-03-27,4136733,6399384.977889667
2013-03-28,4136733,6399384.977889667
2013-03-29,4136733,6399384.977889667
2013-03-30,4136733,6399384.977889667
2013-03-31,4136733,8595361.105484402
2013-04-01,4136733,8595361.105484402
2013-04-02,4136733,6399384.977889667
2013-04-03,4136733,6399384.977889667
2013-04-04,4136733,6399384.977889667
2013-04-05,4136733,6399384.977889667
2013-04-06,4136733,6399384.977889667
2013-04-07,4136733,8595361.105484402
2013-04-08,4136733,8595361.105484402
2013-04-09,4136733,6399384.977889667
2013-04-10,4136733,6399384.977889667
2013-04-11,4136733,6399384.977889667
2013-04-12,4136733,6399384.977889667
2013-04-13,4136733,6399384.977889667
2013-04-14,4136733,8595361.105484402
2013-04-15,4136733,8595361.105484402
2013-04-16,4136733,6399384.977889667
2013-04-17,4136733,6399384.977889667
2013-04-18,4136733,6399384.977889667
2013-04-19,4136733,6399384.977889667
2013-04-20,4136733,6399384.977889667
