building_id,parameter_scope,zone_name,category,object_type,object_name,field,change_type,original,variant_0,variant_1,variant_2,variant_3,variant_4,variant_5,variant_6,variant_7,variant_8,variant_9,variant_10,variant_11,variant_12,variant_13,variant_14,variant_15,variant_16,variant_17,variant_18,has_outputs
4136733,building,BUILDING,materials,MATERIAL,Concrete_200mm,Conductivity,absolute,0.0781191888777523,0.05616695099421968,0.05181246873710996,0.05574215808293488,0.05164326721843373,0.05328706466590547,0.058841191126213964,0.06022722617368322,0.054451163270672495,0.057201364112560917,0.05057058129612405,0.05125393364701943,0.04951702689216031,0.04774900858094279,0.05262297350366127,0.0547408112708013,0.05985452696507199,0.04801203393127346,0.06183867068029065,0.056245045010844645,True
4136733,building,BUILDING,materials,MATERIAL,Concrete_200mm,Thickness,absolute,0.195298,0.2748610163429042,0.25462410496546817,0.23939073982892436,0.23702662072770775,0.2526937076261072,0.24301619185475196,0.2827389518103392,0.27841149017766165,0.2575607354616413,0.26597266460991004,0.26569351948198033,0.25072594802538883,0.2490097496503727,0.27413197103823334,0.25649982247566644,0.2810855208386,0.26897045344307496,0.27903542016400257,0.2648059034496688,True
4136733,building,BUILDING,materials,MATERIAL:NOMASS,Door_U3.4,Thermal Resistance,absolute,0.29,0.4512414249337989,0.4673562431935747,0.5269075624485514,0.4432148154711362,0.5323205987579149,0.5562143390688034,0.5756437062530199,0.5592282794167907,0.5575006864730568,0.5740393529618117,0.4834899648941118,0.5604163574003795,0.48218745229716237,0.5296682561568926,0.5563401932465057,0.45850694018504157,0.45133813227572495,0.5411160985459806,0.565938635502737,True
4136733,building,BUILDING,materials,MATERIAL:NOMASS,GroundFloor_R2.5,Thermal Resistance,absolute,0.3448275862068966,0.6236586130886351,0.5443567679993165,0.5371963810345735,0.576395886872114,0.5335278597830054,0.5368164512230011,0.5815932013400039,0.6245947366029972,0.5966161377387218,0.5749551121320563,0.6863065930019216,0.6055576787825696,0.5722595018652876,0.5722045885307144,0.5505681760503426,0.5832827979133323,0.6091202761836183,0.5700788919806306,0.5318081160391621,True
4136733,building,BUILDING,materials,MATERIAL:NOMASS,InteriorWall_Generic_R0.5,Thermal Resistance,absolute,0.5,0.9603807242265523,0.7609057971797316,0.9385848309816311,0.7526829994804287,0.7578823886991464,0.7673838104281068,0.8245528593339976,0.9969870523386555,0.7759976589360675,0.7683657123106723,0.9902045300534033,0.7662190794881039,0.8818929942564271,0.8984285182079081,0.8196529850061978,0.7682518312890189,0.9958220647213578,0.9906213027948376,0.7614488970074267,True
4136733,building,BUILDING,materials,MATERIAL:NOMASS,InternalFloor_Generic_R1.0,Thermal Resistance,absolute,1.0,1.536776715289134,1.9197080982387595,1.7050834556330159,1.627342118433412,1.6333948922463235,1.8113997166667661,1.5054281015250726,1.9854600410717491,1.912658958838514,1.8210649034766815,1.9304984696682421,1.6312820910423291,1.7985885305917393,1.6609153432469834,1.9010204176985543,1.9718026991658306,1.96284166058253,1.8290992308661678,1.5389956048935565,True
4136733,building,BUILDING,materials,MATERIAL:NOMASS,Roof_R2.5,Thermal Resistance,absolute,2.5,4.157649840771075,4.774517444645493,4.124293644126075,3.9079551783325823,4.171881237113723,4.607891975112207,3.79397120796575,4.622421665789855,4.86039013007487,3.854972072558811,4.401180727955215,4.951163623277891,4.03968592104966,4.611313669631031,4.3220114345867415,4.346566042383525,4.59113162003261,4.641945227963957,4.215571128513178,True
4136733,building,BUILDING,simulation_control,Timestep,Timestep,Number of Timesteps per Hour,absolute,4.0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,True
4136733,building,BUILDING,site_location,SITE:GROUNDTEMPERATURE:BUILDINGSURFACE,SITE:GROUNDTEMPERATURE:BUILDINGSURFACE,April Ground Temperature,absolute,7.558026845372057,9.46917184692521,8.943284400291356,8.851183523016669,10.061960520438255,9.854369246560335,10.37586913597423,8.808442247622562,10.003103329265539,9.058767018223424,10.363161301952783,8.874661107097195,9.38290954182093,8.814449965288413,9.935506973447499,9.892546649035465,9.942976738930982,9.733850658554175,10.404851996140598,9.423359923551713,True
4136733,building,BUILDING,site_location,SITE:GROUNDTEMPERATURE:BUILDINGSURFACE,SITE:GROUNDTEMPERATURE:BUILDINGSURFACE,August Ground Temperature,absolute,17.673877665258832,19.585022666811984,19.05913522017813,18.967034342903446,20.177811340325032,19.970220066447112,20.491719955861008,18.92429306750934,20.118954149152316,19.1746178381102,20.47901212183956,18.99051192698397,19.498760361707706,18.930300785175188,20.051357793334276,20.00839746892224,20.058827558817757,19.84970147844095,20.520702816027374,19.53921074343849,True
4136733,building,BUILDING,site_location,SITE:GROUNDTEMPERATURE:BUILDINGSURFACE,SITE:GROUNDTEMPERATURE:BUILDINGSURFACE,December Ground Temperature,absolute,4.0107105762067246,5.921855577759878,5.395968131126024,5.303867253851338,6.514644251272923,6.307052977395004,6.8285528668088995,5.26112597845723,6.4557870601002065,5.511450749058092,6.8158450327874505,5.327344837931862,5.835593272655597,5.26713369612308,6.3881907042821675,6.345230379870133,6.39566046976565,6.186534389388843,6.857535726975266,5.876043654386381,True
