Date/Time,Heating:EnergyTransfer [J](Monthly),Cooling:EnergyTransfer [J](Monthly),Electricity:Facility [J](Daily) 
 01/01,,,5005715.665327905 
 01/02,,,5005715.665327905 
 01/03,,,5005715.665327905 
 01/04,,,5005715.665327905 
 01/05,,,6723448.250657071 
 01/06,,,6723448.250657071 
 01/07,,,5005715.665327905 
 01/08,,,5005715.665327905 
 01/09,,,5005715.665327905 
 01/10,,,5005715.665327905 
 01/11,,,5005715.665327905 
 01/12,,,6723448.250657071 
 01/13,,,6723448.250657071 
 01/14,,,5005715.665327905 
 01/15,,,5005715.665327905 
 01/16,,,5005715.665327905 
 01/17,,,5005715.665327905 
 01/18,,,5005715.665327905 
 01/19,,,6723448.250657071 
 01/20,,,6723448.250657071 
 01/21,,,5005715.665327905 
 01/22,,,5005715.665327905 
 01/23,,,5005715.665327905 
 01/24,,,5005715.665327905 
 01/25,,,5005715.665327905 
 01/26,,,6723448.250657071 
 01/27,,,6723448.250657071 
 01/28,,,5005715.665327905 
 01/29,,,5005715.665327905 
 01/30,,,5005715.665327905 
 01/31,4148992974.6387043,34375445.03671672,5005715.665327905 
 02/01,,,5005715.665327905 
 02/02,,,6723448.250657071 
 02/03,,,6723448.250657071 
 02/04,,,5005715.665327905 
 02/05,,,5005715.665327905 
 02/06,,,5005715.665327905 
 02/07,,,5005715.665327905 
 02/08,,,5005715.665327905 
 02/09,,,6723448.250657071 
 02/10,,,6723448.250657071 
 02/11,,,5005715.665327905 
 02/12,,,5005715.665327905 
 02/13,,,5005715.665327905 
 02/14,,,5005715.665327905 
 02/15,,,5005715.665327905 
 02/16,,,6723448.250657071 
 02/17,,,6723448.250657071 
 02/18,,,5005715.665327905 
 02/19,,,5005715.665327905 
 02/20,,,5005715.665327905 
 02/21,,,5005715.665327905 
 02/22,,,5005715.665327905 
 02/23,,,6723448.250657071 
 02/24,,,6723448.250657071 
 02/25,,,5005715.665327905 
 02/26,,,5005715.665327905 
 02/27,,,5005715.665327905 
 02/28,3159529215.5231576,47645209.568601705,5005715.665327905 
 03/01,,,5005715.665327905 
 03/02,,,6723448.250657071 
 03/03,,,6723448.250657071 
 03/04,,,5005715.665327905 
 03/05,,,5005715.665327905 
 03/06,,,5005715.665327905 
 03/07,,,5005715.665327905 
 03/08,,,5005715.665327905 
 03/09,,,6723448.250657071 
 03/10,,,6723448.250657071 
 03/11,,,5005715.665327905 
 03/12,,,5005715.665327905 
 03/13,,,5005715.665327905 
 03/14,,,5005715.665327905 
 03/15,,,5005715.665327905 
 03/16,,,6723448.250657071 
 03/17,,,6723448.250657071 
 03/18,,,5005715.665327905 
 03/19,,,5005715.665327905 
 03/20,,,5005715.665327905 
 03/21,,,5005715.665327905 
 03/22,,,5005715.665327905 
 03/23,,,6723448.250657071 
 03/24,,,6723448.250657071 
 03/25,,,5005715.665327905 
 03/26,,,5005715.665327905 
 03/27,,,5005715.665327905 
 03/28,,,5005715.665327905 
 03/29,,,5005715.665327905 
 03/30,,,6723448.250657071 
 03/31,2744064216.22773,77089878.81215195,6723448.250657071 
 04/01,,,5005715.665327905 
 04/02,,,5005715.665327905 
 04/03,,,5005715.665327905 
 04/04,,,5005715.665327905 
 04/05,,,5005715.665327905 
 04/06,,,6723448.250657071 
 04/07,,,6723448.250657071 
 04/08,,,5005715.665327905 
 04/09,,,5005715.665327905 
 04/10,,,5005715.665327905 
 04/11,,,5005715.665327905 
 04/12,,,5005715.665327905 
 04/13,,,6723448.250657071 
 04/14,,,6723448.250657071 
 04/15,,,5005715.665327905 
 04/16,,,5005715.665327905 
 04/17,,,5005715.665327905 
 04/18,,,5005715.665327905 
 04/19,,,5005715.665327905 
 04/20,,,6723448.250657071 
 04/21,,,6723448.250657071 
 04/22,,,5005715.665327905 
 04/23,,,5005715.665327905 
 04/24,,,5005715.665327905 
 04/25,,,5005715.665327905 
 04/26,,,5005715.665327905 
 04/27,,,6723448.250657071 
 04/28,,,6723448.250657071 
 04/29,,,5005715.665327905 
 04/30,1366505779.6979935,176420659.93516564,5005715.665327905 
 05/01,,,5005715.665327905 
 05/02,,,5005715.665327905 
 05/03,,,5005715.665327905 
 05/04,,,6723448.250657071 
 05/05,,,6723448.250657071 
 05/06,,,5005715.665327905 
 05/07,,,5005715.665327905 
 05/08,,,5005715.665327905 
 05/09,,,5005715.665327905 
 05/10,,,5005715.665327905 
 05/11,,,6723448.250657071 
 05/12,,,6723448.250657071 
 05/13,,,5005715.665327905 
 05/14,,,5005715.665327905 
 05/15,,,5005715.665327905 
 05/16,,,5005715.665327905 
 05/17,,,5005715.665327905 
 05/18,,,6723448.250657071 
 05/19,,,6723448.250657071 
 05/20,,,5005715.665327905 
 05/21,,,5005715.665327905 
 05/22,,,5005715.665327905 
 05/23,,,5005715.665327905 
 05/24,,,5005715.665327905 
 05/25,,,6723448.250657071 
 05/26,,,6723448.250657071 
 05/27,,,5005715.665327905 
 05/28,,,5005715.665327905 
 05/29,,,5005715.665327905 
 05/30,,,5005715.665327905 
 05/31,226796617.66119725,350698991.2812825,5005715.665327905 
 06/01,,,6723448.250657071 
 06/02,,,6723448.250657071 
 06/03,,,5005715.665327905 
 06/04,,,5005715.665327905 
 06/05,,,5005715.665327905 
 06/06,,,5005715.665327905 
 06/07,,,5005715.665327905 
 06/08,,,6723448.250657071 
 06/09,,,6723448.250657071 
 06/10,,,5005715.665327905 
 06/11,,,5005715.665327905 
 06/12,,,5005715.665327905 
 06/13,,,5005715.665327905 
 06/14,,,5005715.665327905 
 06/15,,,6723448.250657071 
 06/16,,,6723448.250657071 
 06/17,,,5005715.665327905 
 06/18,,,5005715.665327905 
 06/19,,,5005715.665327905 
 06/20,,,5005715.665327905 
 06/21,,,5005715.665327905 
 06/22,,,6723448.250657071 
 06/23,,,6723448.250657071 
 06/24,,,5005715.665327905 
 06/25,,,5005715.665327905 
 06/26,,,5005715.665327905 
 06/27,,,5005715.665327905 
 06/28,,,5005715.665327905 
 06/29,,,6723448.250657071 
 06/30,51112067.5737703,449176789.45627594,6723448.250657071 
 07/01,,,5005715.665327905 
 07/02,,,5005715.665327905 
 07/03,,,5005715.665327905 
 07/04,,,5005715.665327905 
 07/05,,,5005715.665327905 
 07/06,,,6723448.250657071 
 07/07,,,6723448.250657071 
 07/08,,,5005715.665327905 
 07/09,,,5005715.665327905 
 07/10,,,5005715.665327905 
 07/11,,,5005715.665327905 
 07/12,,,5005715.665327905 
 07/13,,,6723448.250657071 
 07/14,,,6723448.250657071 
 07/15,,,5005715.665327905 
 07/16,,,5005715.665327905 
 07/17,,,5005715.665327905 
 07/18,,,5005715.665327905 
 07/19,,,5005715.665327905 
 07/20,,,6723448.250657071 
 07/21,,,6723448.250657071 
 07/22,,,5005715.665327905 
 07/23,,,5005715.665327905 
 07/24,,,5005715.665327905 
 07/25,,,5005715.665327905 
 07/26,,,5005715.665327905 
 07/27,,,6723448.250657071 
 07/28,,,6723448.250657071 
 07/29,,,5005715.665327905 
 07/30,,,5005715.665327905 
 07/31,10163372.03764702,472860209.072654,5005715.665327905 
 08/01,,,5005715.665327905 
 08/02,,,5005715.665327905 
 08/03,,,6723448.250657071 
 08/04,,,6723448.250657071 
 08/05,,,5005715.665327905 
 08/06,,,5005715.665327905 
 08/07,,,5005715.665327905 
 08/08,,,5005715.665327905 
 08/09,,,5005715.665327905 
 08/10,,,6723448.250657071 
 08/11,,,6723448.250657071 
 08/12,,,5005715.665327905 
 08/13,,,5005715.665327905 
 08/14,,,5005715.665327905 
 08/15,,,5005715.665327905 
 08/16,,,5005715.665327905 
 08/17,,,6723448.250657071 
 08/18,,,6723448.250657071 
 08/19,,,5005715.665327905 
 08/20,,,5005715.665327905 
 08/21,,,5005715.665327905 
 08/22,,,5005715.665327905 
 08/23,,,5005715.665327905 
 08/24,,,6723448.250657071 
 08/25,,,6723448.250657071 
 08/26,,,5005715.665327905 
 08/27,,,5005715.665327905 
 08/28,,,5005715.665327905 
 08/29,,,5005715.665327905 
 08/30,,,5005715.665327905 
 08/31,22475040.929929633,358126829.1830054,6723448.250657071 
 09/01,,,6723448.250657071 
 09/02,,,5005715.665327905 
 09/03,,,5005715.665327905 
 09/04,,,5005715.665327905 
 09/05,,,5005715.665327905 
 09/06,,,5005715.665327905 
 09/07,,,6723448.250657071 
 09/08,,,6723448.250657071 
 09/09,,,5005715.665327905 
 09/10,,,5005715.665327905 
 09/11,,,5005715.665327905 
 09/12,,,5005715.665327905 
 09/13,,,5005715.665327905 
 09/14,,,6723448.250657071 
 09/15,,,6723448.250657071 
 09/16,,,5005715.665327905 
 09/17,,,5005715.665327905 
 09/18,,,5005715.665327905 
 09/19,,,5005715.665327905 
 09/20,,,5005715.665327905 
 09/21,,,6723448.250657071 
 09/22,,,6723448.250657071 
 09/23,,,5005715.665327905 
 09/24,,,5005715.665327905 
 09/25,,,5005715.665327905 
 09/26,,,5005715.665327905 
 09/27,,,5005715.665327905 
 09/28,,,6723448.250657071 
 09/29,,,6723448.250657071 
 09/30,249993890.1901709,246680691.33105206,5005715.665327905 
 10/01,,,5005715.665327905 
 10/02,,,5005715.665327905 
 10/03,,,5005715.665327905 
 10/04,,,5005715.665327905 
 10/05,,,6723448.250657071 
 10/06,,,6723448.250657071 
 10/07,,,5005715.665327905 
 10/08,,,5005715.665327905 
 10/09,,,5005715.665327905 
 10/10,,,5005715.665327905 
 10/11,,,5005715.665327905 
 10/12,,,6723448.250657071 
 10/13,,,6723448.250657071 
 10/14,,,5005715.665327905 
 10/15,,,5005715.665327905 
 10/16,,,5005715.665327905 
 10/17,,,5005715.665327905 
 10/18,,,5005715.665327905 
 10/19,,,6723448.250657071 
 10/20,,,6723448.250657071 
 10/21,,,5005715.665327905 
 10/22,,,5005715.665327905 
 10/23,,,5005715.665327905 
 10/24,,,5005715.665327905 
 10/25,,,5005715.665327905 
 10/26,,,6723448.250657071 
 10/27,,,6723448.250657071 
 10/28,,,5005715.665327905 
 10/29,,,5005715.665327905 
 10/30,,,5005715.665327905 
 10/31,1261670782.967259,110655287.5690547,5005715.665327905 
 11/01,,,5005715.665327905 
 11/02,,,6723448.250657071 
 11/03,,,6723448.250657071 
 11/04,,,5005715.665327905 
 11/05,,,5005715.665327905 
 11/06,,,5005715.665327905 
 11/07,,,5005715.665327905 
 11/08,,,5005715.665327905 
 11/09,,,6723448.250657071 
 11/10,,,6723448.250657071 
 11/11,,,5005715.665327905 
 11/12,,,5005715.665327905 
 11/13,,,5005715.665327905 
 11/14,,,5005715.665327905 
 11/15,,,5005715.665327905 
 11/16,,,6723448.250657071 
 11/17,,,6723448.250657071 
 11/18,,,5005715.665327905 
 11/19,,,5005715.665327905 
 11/20,,,5005715.665327905 
 11/21,,,5005715.665327905 
 11/22,,,5005715.665327905 
 11/23,,,6723448.250657071 
 11/24,,,6723448.250657071 
 11/25,,,5005715.665327905 
 11/26,,,5005715.665327905 
 11/27,,,5005715.665327905 
 11/28,,,5005715.665327905 
 11/29,,,5005715.665327905 
 11/30,2731327873.087025,52442181.28639926,6723448.250657071 
 12/01,,,6723448.250657071 
 12/02,,,5005715.665327905 
 12/03,,,5005715.665327905 
 12/04,,,5005715.665327905 
 12/05,,,5005715.665327905 
 12/06,,,5005715.665327905 
 12/07,,,6723448.250657071 
 12/08,,,6723448.250657071 
 12/09,,,5005715.665327905 
 12/10,,,5005715.665327905 
 12/11,,,5005715.665327905 
 12/12,,,5005715.665327905 
 12/13,,,5005715.665327905 
 12/14,,,6723448.250657071 
 12/15,,,6723448.250657071 
 12/16,,,5005715.665327905 
 12/17,,,5005715.665327905 
 12/18,,,5005715.665327905 
 12/19,,,5005715.665327905 
 12/20,,,5005715.665327905 
 12/21,,,6723448.250657071 
 12/22,,,6723448.250657071 
 12/23,,,5005715.665327905 
 12/24,,,5005715.665327905 
 12/25,,,5005715.665327905 
 12/26,,,5005715.665327905 
 12/27,,,5005715.665327905 
 12/28,,,6723448.250657071 
 12/29,,,6723448.250657071 
 12/30,,,5005715.665327905 
 12/31,3969732115.600302,35931033.20501594,5005715.665327905 
