Date/Time,Heating:EnergyTransfer [J](Monthly),Cooling:EnergyTransfer [J](Monthly),Electricity:Facility [J](Daily) 
 01/01,,,4679685.384218084 
 01/02,,,4679685.384218084 
 01/03,,,4679685.384218084 
 01/04,,,4679685.384218084 
 01/05,,,6285539.2942270655 
 01/06,,,6285539.2942270655 
 01/07,,,4679685.384218084 
 01/08,,,4679685.384218084 
 01/09,,,4679685.384218084 
 01/10,,,4679685.384218084 
 01/11,,,4679685.384218084 
 01/12,,,6285539.2942270655 
 01/13,,,6285539.2942270655 
 01/14,,,4679685.384218084 
 01/15,,,4679685.384218084 
 01/16,,,4679685.384218084 
 01/17,,,4679685.384218084 
 01/18,,,4679685.384218084 
 01/19,,,6285539.2942270655 
 01/20,,,6285539.2942270655 
 01/21,,,4679685.384218084 
 01/22,,,4679685.384218084 
 01/23,,,4679685.384218084 
 01/24,,,4679685.384218084 
 01/25,,,4679685.384218084 
 01/26,,,6285539.2942270655 
 01/27,,,6285539.2942270655 
 01/28,,,4679685.384218084 
 01/29,,,4679685.384218084 
 01/30,,,4679685.384218084 
 01/31,4091363310.009807,44391811.62348802,4679685.384218084 
 02/01,,,4679685.384218084 
 02/02,,,6285539.2942270655 
 02/03,,,6285539.2942270655 
 02/04,,,4679685.384218084 
 02/05,,,4679685.384218084 
 02/06,,,4679685.384218084 
 02/07,,,4679685.384218084 
 02/08,,,4679685.384218084 
 02/09,,,6285539.2942270655 
 02/10,,,6285539.2942270655 
 02/11,,,4679685.384218084 
 02/12,,,4679685.384218084 
 02/13,,,4679685.384218084 
 02/14,,,4679685.384218084 
 02/15,,,4679685.384218084 
 02/16,,,6285539.2942270655 
 02/17,,,6285539.2942270655 
 02/18,,,4679685.384218084 
 02/19,,,4679685.384218084 
 02/20,,,4679685.384218084 
 02/21,,,4679685.384218084 
 02/22,,,4679685.384218084 
 02/23,,,6285539.2942270655 
 02/24,,,6285539.2942270655 
 02/25,,,4679685.384218084 
 02/26,,,4679685.384218084 
 02/27,,,4679685.384218084 
 02/28,3092271294.9067597,61998882.79967924,4679685.384218084 
 03/01,,,4679685.384218084 
 03/02,,,6285539.2942270655 
 03/03,,,6285539.2942270655 
 03/04,,,4679685.384218084 
 03/05,,,4679685.384218084 
 03/06,,,4679685.384218084 
 03/07,,,4679685.384218084 
 03/08,,,4679685.384218084 
 03/09,,,6285539.2942270655 
 03/10,,,6285539.2942270655 
 03/11,,,4679685.384218084 
 03/12,,,4679685.384218084 
 03/13,,,4679685.384218084 
 03/14,,,4679685.384218084 
 03/15,,,4679685.384218084 
 03/16,,,6285539.2942270655 
 03/17,,,6285539.2942270655 
 03/18,,,4679685.384218084 
 03/19,,,4679685.384218084 
 03/20,,,4679685.384218084 
 03/21,,,4679685.384218084 
 03/22,,,4679685.384218084 
 03/23,,,6285539.2942270655 
 03/24,,,6285539.2942270655 
 03/25,,,4679685.384218084 
 03/26,,,4679685.384218084 
 03/27,,,4679685.384218084 
 03/28,,,4679685.384218084 
 03/29,,,4679685.384218084 
 03/30,,,6285539.2942270655 
 03/31,2670846608.8691225,91471613.99140294,6285539.2942270655 
 04/01,,,4679685.384218084 
 04/02,,,4679685.384218084 
 04/03,,,4679685.384218084 
 04/04,,,4679685.384218084 
 04/05,,,4679685.384218084 
 04/06,,,6285539.2942270655 
 04/07,,,6285539.2942270655 
 04/08,,,4679685.384218084 
 04/09,,,4679685.384218084 
 04/10,,,4679685.384218084 
 04/11,,,4679685.384218084 
 04/12,,,4679685.384218084 
 04/13,,,6285539.2942270655 
 04/14,,,6285539.2942270655 
 04/15,,,4679685.384218084 
 04/16,,,4679685.384218084 
 04/17,,,4679685.384218084 
 04/18,,,4679685.384218084 
 04/19,,,4679685.384218084 
 04/20,,,6285539.2942270655 
 04/21,,,6285539.2942270655 
 04/22,,,4679685.384218084 
 04/23,,,4679685.384218084 
 04/24,,,4679685.384218084 
 04/25,,,4679685.384218084 
 04/26,,,4679685.384218084 
 04/27,,,6285539.2942270655 
 04/28,,,6285539.2942270655 
 04/29,,,4679685.384218084 
 04/30,1293312455.4647684,195254879.42414808,4679685.384218084 
 05/01,,,4679685.384218084 
 05/02,,,4679685.384218084 
 05/03,,,4679685.384218084 
 05/04,,,6285539.2942270655 
 05/05,,,6285539.2942270655 
 05/06,,,4679685.384218084 
 05/07,,,4679685.384218084 
 05/08,,,4679685.384218084 
 05/09,,,4679685.384218084 
 05/10,,,4679685.384218084 
 05/11,,,6285539.2942270655 
 05/12,,,6285539.2942270655 
 05/13,,,4679685.384218084 
 05/14,,,4679685.384218084 
 05/15,,,4679685.384218084 
 05/16,,,4679685.384218084 
 05/17,,,4679685.384218084 
 05/18,,,6285539.2942270655 
 05/19,,,6285539.2942270655 
 05/20,,,4679685.384218084 
 05/21,,,4679685.384218084 
 05/22,,,4679685.384218084 
 05/23,,,4679685.384218084 
 05/24,,,4679685.384218084 
 05/25,,,6285539.2942270655 
 05/26,,,6285539.2942270655 
 05/27,,,4679685.384218084 
 05/28,,,4679685.384218084 
