Date/Time,Heating:EnergyTransfer [J](Monthly),Cooling:EnergyTransfer [J](Monthly),Electricity:Facility [J](Daily) 
 01/01,,,4643212.767938265 
 01/02,,,4643212.767938265 
 01/03,,,4643212.767938265 
 01/04,,,4643212.767938265 
 01/05,,,6236550.94480445 
 01/06,,,6236550.94480445 
 01/07,,,4643212.767938265 
 01/08,,,4643212.767938265 
 01/09,,,4643212.767938265 
 01/10,,,4643212.767938265 
 01/11,,,4643212.767938265 
 01/12,,,6236550.94480445 
 01/13,,,6236550.94480445 
 01/14,,,4643212.767938265 
 01/15,,,4643212.767938265 
 01/16,,,4643212.767938265 
 01/17,,,4643212.767938265 
 01/18,,,4643212.767938265 
 01/19,,,6236550.94480445 
 01/20,,,6236550.94480445 
 01/21,,,4643212.767938265 
 01/22,,,4643212.767938265 
 01/23,,,4643212.767938265 
 01/24,,,4643212.767938265 
 01/25,,,4643212.767938265 
 01/26,,,6236550.94480445 
 01/27,,,6236550.94480445 
 01/28,,,4643212.767938265 
 01/29,,,4643212.767938265 
 01/30,,,4643212.767938265 
 01/31,4023080740.3063936,48311493.36186046,4643212.767938265 
 02/01,,,4643212.767938265 
 02/02,,,6236550.94480445 
 02/03,,,6236550.94480445 
 02/04,,,4643212.767938265 
 02/05,,,4643212.767938265 
 02/06,,,4643212.767938265 
 02/07,,,4643212.767938265 
 02/08,,,4643212.767938265 
 02/09,,,6236550.94480445 
 02/10,,,6236550.94480445 
 02/11,,,4643212.767938265 
 02/12,,,4643212.767938265 
 02/13,,,4643212.767938265 
 02/14,,,4643212.767938265 
 02/15,,,4643212.767938265 
 02/16,,,6236550.94480445 
 02/17,,,6236550.94480445 
 02/18,,,4643212.767938265 
 02/19,,,4643212.767938265 
 02/20,,,4643212.767938265 
 02/21,,,4643212.767938265 
 02/22,,,4643212.767938265 
 02/23,,,6236550.94480445 
 02/24,,,6236550.94480445 
 02/25,,,4643212.767938265 
 02/26,,,4643212.767938265 
 02/27,,,4643212.767938265 
 02/28,3025304573.0394473,65412075.27369621,4643212.767938265 
 03/01,,,4643212.767938265 
 03/02,,,6236550.94480445 
 03/03,,,6236550.94480445 
 03/04,,,4643212.767938265 
 03/05,,,4643212.767938265 
 03/06,,,4643212.767938265 
 03/07,,,4643212.767938265 
 03/08,,,4643212.767938265 
 03/09,,,6236550.94480445 
 03/10,,,6236550.94480445 
 03/11,,,4643212.767938265 
 03/12,,,4643212.767938265 
 03/13,,,4643212.767938265 
 03/14,,,4643212.767938265 
 03/15,,,4643212.767938265 
 03/16,,,6236550.94480445 
 03/17,,,6236550.94480445 
 03/18,,,4643212.767938265 
 03/19,,,4643212.767938265 
 03/20,,,4643212.767938265 
 03/21,,,4643212.767938265 
 03/22,,,4643212.767938265 
 03/23,,,6236550.94480445 
 03/24,,,6236550.94480445 
 03/25,,,4643212.767938265 
 03/26,,,4643212.767938265 
 03/27,,,4643212.767938265 
 03/28,,,4643212.767938265 
 03/29,,,4643212.767938265 
 03/30,,,6236550.94480445 
 03/31,2584330025.161346,96856851.25634563,6236550.94480445 
 04/01,,,4643212.767938265 
 04/02,,,4643212.767938265 
 04/03,,,4643212.767938265 
 04/04,,,4643212.767938265 
 04/05,,,4643212.767938265 
 04/06,,,6236550.94480445 
 04/07,,,6236550.94480445 
 04/08,,,4643212.767938265 
 04/09,,,4643212.767938265 
 04/10,,,4643212.767938265 
 04/11,,,4643212.767938265 
 04/12,,,4643212.767938265 
 04/13,,,6236550.94480445 
 04/14,,,6236550.94480445 
 04/15,,,4643212.767938265 
 04/16,,,4643212.767938265 
 04/17,,,4643212.767938265 
 04/18,,,4643212.767938265 
 04/19,,,4643212.767938265 
 04/20,,,6236550.94480445 
 04/21,,,6236550.94480445 
 04/22,,,4643212.767938265 
 04/23,,,4643212.767938265 
 04/24,,,4643212.767938265 
 04/25,,,4643212.767938265 
 04/26,,,4643212.767938265 
 04/27,,,6236550.94480445 
 04/28,,,6236550.94480445 
