Date/Time,Heating:EnergyTransfer [J](Monthly),Cooling:EnergyTransfer [J](Monthly),Electricity:Facility [J](Daily) 
 01/01,,,7553793.792898115 
 01/02,,,7553793.792898115 
 01/03,,,7553793.792898115 
 01/04,,,7553793.792898115 
 01/05,,,1390981.247451078 
 01/06,,,1390981.247451078 
 01/07,,,7553793.792898115 
 01/08,,,7553793.792898115 
 01/09,,,7553793.792898115 
 01/10,,,7553793.792898115 
 01/11,,,7553793.792898115 
 01/12,,,1390981.247451078 
 01/13,,,1390981.247451078 
 01/14,,,7553793.792898115 
 01/15,,,7553793.792898115 
 01/16,,,7553793.792898115 
 01/17,,,7553793.792898115 
 01/18,,,7553793.792898115 
 01/19,,,1390981.247451078 
 01/20,,,1390981.247451078 
 01/21,,,7553793.792898115 
 01/22,,,7553793.792898115 
 01/23,,,7553793.792898115 
 01/24,,,7553793.792898115 
 01/25,,,7553793.792898115 
 01/26,,,1390981.247451078 
 01/27,,,1390981.247451078 
 01/28,,,7553793.792898115 
 01/29,,,7553793.792898115 
 01/30,,,7553793.792898115 
 01/31,1924596374.1567426,5324580.848390726,7553793.792898115 
 02/01,,,7553793.792898115 
 02/02,,,1390981.247451078 
 02/03,,,1390981.247451078 
 02/04,,,7553793.792898115 
 02/05,,,7553793.792898115 
 02/06,,,7553793.792898115 
 02/07,,,7553793.792898115 
 02/08,,,7553793.792898115 
 02/09,,,1390981.247451078 
 02/10,,,1390981.247451078 
 02/11,,,7553793.792898115 
 02/12,,,7553793.792898115 
 02/13,,,7553793.792898115 
 02/14,,,7553793.792898115 
 02/15,,,7553793.792898115 
 02/16,,,1390981.247451078 
 02/17,,,1390981.247451078 
 02/18,,,7553793.792898115 
 02/19,,,7553793.792898115 
 02/20,,,7553793.792898115 
 02/21,,,7553793.792898115 
 02/22,,,7553793.792898115 
 02/23,,,1390981.247451078 
 02/24,,,1390981.247451078 
 02/25,,,7553793.792898115 
 02/26,,,7553793.792898115 
 02/27,,,7553793.792898115 
 02/28,1281341312.6773877,13908283.169679677,7553793.792898115 
 03/01,,,7553793.792898115 
 03/02,,,1390981.247451078 
 03/03,,,1390981.247451078 
 03/04,,,7553793.792898115 
 03/05,,,7553793.792898115 
 03/06,,,7553793.792898115 
 03/07,,,7553793.792898115 
 03/08,,,7553793.792898115 
 03/09,,,1390981.247451078 
 03/10,,,1390981.247451078 
 03/11,,,7553793.792898115 
 03/12,,,7553793.792898115 
 03/13,,,7553793.792898115 
 03/14,,,7553793.792898115 
 03/15,,,7553793.792898115 
 03/16,,,1390981.247451078 
 03/17,,,1390981.247451078 
 03/18,,,7553793.792898115 
 03/19,,,7553793.792898115 
 03/20,,,7553793.792898115 
 03/21,,,7553793.792898115 
 03/22,,,7553793.792898115 
 03/23,,,1390981.247451078 
 03/24,,,1390981.247451078 
 03/25,,,7553793.792898115 
 03/26,,,7553793.792898115 
 03/27,,,7553793.792898115 
 03/28,,,7553793.792898115 
 03/29,,,7553793.792898115 
 03/30,,,1390981.247451078 
 03/31,1140967119.9533336,7144707.394593311,1390981.247451078 
 04/01,,,7553793.792898115 
 04/02,,,7553793.792898115 
 04/03,,,7553793.792898115 
 04/04,,,7553793.792898115 
 04/05,,,7553793.792898115 
 04/06,,,1390981.247451078 
 04/07,,,1390981.247451078 
 04/08,,,7553793.792898115 
 04/09,,,7553793.792898115 
 04/10,,,7553793.792898115 
 04/11,,,7553793.792898115 
 04/12,,,7553793.792898115 
 04/13,,,1390981.247451078 
 04/14,,,1390981.247451078 
 04/15,,,7553793.792898115 
 04/16,,,7553793.792898115 
 04/17,,,7553793.792898115 
 04/18,,,7553793.792898115 
 04/19,,,7553793.792898115 
 04/20,,,1390981.247451078 
 04/21,,,1390981.247451078 
 04/22,,,7553793.792898115 
 04/23,,,7553793.792898115 
 04/24,,,7553793.792898115 
 04/25,,,7553793.792898115 
 04/26,,,7553793.792898115 
 04/27,,,1390981.247451078 
 04/28,,,1390981.247451078 
 04/29,,,7553793.792898115 
 04/30,480864113.53542906,77359711.63022612,7553793.792898115 
 05/01,,,7553793.792898115 
 05/02,,,7553793.792898115 
 05/03,,,7553793.792898115 
 05/04,,,1390981.247451078 
 05/05,,,1390981.247451078 
 05/06,,,7553793.792898115 
 05/07,,,7553793.792898115 
 05/08,,,7553793.792898115 
 05/09,,,7553793.792898115 
 05/10,,,7553793.792898115 
 05/11,,,1390981.247451078 
 05/12,,,1390981.247451078 
 05/13,,,7553793.792898115 
 05/14,,,7553793.792898115 
 05/15,,,7553793.792898115 
 05/16,,,7553793.792898115 
 05/17,,,7553793.792898115 
 05/18,,,1390981.247451078 
 05/19,,,1390981.247451078 
 05/20,,,7553793.792898115 
 05/21,,,7553793.792898115 
 05/22,,,7553793.792898115 
 05/23,,,7553793.792898115 
 05/24,,,7553793.792898115 
 05/25,,,1390981.247451078 
 05/26,,,1390981.247451078 
 05/27,,,7553793.792898115 
 05/28,,,7553793.792898115 
 05/29,,,7553793.792898115 
 05/30,,,7553793.792898115 
 05/31,33940626.55587446,351066305.62173617,7553793.792898115 
 06/01,,,1390981.247451078 
 06/02,,,1390981.247451078 
 06/03,,,7553793.792898115 
 06/04,,,7553793.792898115 
 06/05,,,7553793.792898115 
 06/06,,,7553793.792898115 
 06/07,,,7553793.792898115 
 06/08,,,1390981.247451078 
 06/09,,,1390981.247451078 
 06/10,,,7553793.792898115 
 06/11,,,7553793.792898115 
 06/12,,,7553793.792898115 
 06/13,,,7553793.792898115 
 06/14,,,7553793.792898115 
 06/15,,,1390981.247451078 
 06/16,,,1390981.247451078 
 06/17,,,7553793.792898115 
 06/18,,,7553793.792898115 
 06/19,,,7553793.792898115 
 06/20,,,7553793.792898115 
 06/21,,,7553793.792898115 
 06/22,,,1390981.247451078 
 06/23,,,1390981.247451078 
 06/24,,,7553793.792898115 
 06/25,,,7553793.792898115 
 06/26,,,7553793.792898115 
 06/27,,,7553793.792898115 
 06/28,,,7553793.792898115 
 06/29,,,1390981.247451078 
 06/30,1648443.711674438,601502757.3435607,1390981.247451078 
 07/01,,,7553793.792898115 
 07/02,,,7553793.792898115 
 07/03,,,7553793.792898115 
 07/04,,,7553793.792898115 
 07/05,,,7553793.792898115 
 07/06,,,1390981.247451078 
 07/07,,,1390981.247451078 
 07/08,,,7553793.792898115 
 07/09,,,7553793.792898115 
 07/10,,,7553793.792898115 
 07/11,,,7553793.792898115 
 07/12,,,7553793.792898115 
 07/13,,,1390981.247451078 
 07/14,,,1390981.247451078 
 07/15,,,7553793.792898115 
 07/16,,,7553793.792898115 
 07/17,,,7553793.792898115 
 07/18,,,7553793.792898115 
 07/19,,,7553793.792898115 
 07/20,,,1390981.247451078 
 07/21,,,1390981.247451078 
 07/22,,,7553793.792898115 
 07/23,,,7553793.792898115 
 07/24,,,7553793.792898115 
 07/25,,,7553793.792898115 
 07/26,,,7553793.792898115 
 07/27,,,1390981.247451078 
 07/28,,,1390981.247451078 
 07/29,,,7553793.792898115 
 07/30,,,7553793.792898115 
 07/31,0.0,822386298.6205512,7553793.792898115 
 08/01,,,7553793.792898115 
 08/02,,,7553793.792898115 
 08/03,,,1390981.247451078 
 08/04,,,1390981.247451078 
 08/05,,,7553793.792898115 
 08/06,,,7553793.792898115 
 08/07,,,7553793.792898115 
 08/08,,,7553793.792898115 
 08/09,,,7553793.792898115 
 08/10,,,1390981.247451078 
 08/11,,,1390981.247451078 
 08/12,,,7553793.792898115 
 08/13,,,7553793.792898115 
 08/14,,,7553793.792898115 
 08/15,,,7553793.792898115 
 08/16,,,7553793.792898115 
 08/17,,,1390981.247451078 
 08/18,,,1390981.247451078 
 08/19,,,7553793.792898115 
 08/20,,,7553793.792898115 
 08/21,,,7553793.792898115 
 08/22,,,7553793.792898115 
 08/23,,,7553793.792898115 
 08/24,,,1390981.247451078 
 08/25,,,1390981.247451078 
 08/26,,,7553793.792898115 
 08/27,,,7553793.792898115 
 08/28,,,7553793.792898115 
 08/29,,,7553793.792898115 
 08/30,,,7553793.792898115 
 08/31,0.0,691395934.4294297,1390981.247451078 
 09/01,,,1390981.247451078 
 09/02,,,7553793.792898115 
 09/03,,,7553793.792898115 
 09/04,,,7553793.792898115 
 09/05,,,7553793.792898115 
 09/06,,,7553793.792898115 
