Date/Time,Heating:EnergyTransfer [J](Monthly),Cooling:EnergyTransfer [J](Monthly),Electricity:Facility [J](Daily) 
 07/08,,,10243236.620065155 
 07/09,,,10243236.620065155 
 07/10,,,10243236.620065155 
 07/11,,,10243236.620065155 
 07/12,,,10243236.620065155 
 07/13,,,1371139.5453498703 
 07/14,,,1371139.5453498703 
 07/15,,,10243236.620065155 
 07/16,,,10243236.620065155 
 07/17,,,10243236.620065155 
 07/18,,,10243236.620065155 
 07/19,,,10243236.620065155 
 07/20,,,1371139.5453498703 
 07/21,,,1371139.5453498703 
 07/22,,,10243236.620065155 
 07/23,,,10243236.620065155 
 07/24,,,10243236.620065155 
 07/25,,,10243236.620065155 
 07/26,,,10243236.620065155 
 07/27,,,1371139.5453498703 
 07/28,,,1371139.5453498703 
 07/29,,,10243236.620065155 
 07/30,,,10243236.620065155 
 07/31,0.0,794397291.99633,10243236.620065155 
 08/01,,,10243236.620065155 
 08/02,,,10243236.620065155 
 08/03,,,1371139.5453498703 
 08/04,,,1371139.5453498703 
 08/05,,,10243236.620065155 
 08/06,,,10243236.620065155 
 08/07,,,10243236.620065155 
 08/08,,,10243236.620065155 
 08/09,,,10243236.620065155 
 08/10,,,1371139.5453498703 
 08/11,,,1371139.5453498703 
 08/12,,,10243236.620065155 
 08/13,,,10243236.620065155 
 08/14,,,10243236.620065155 
 08/15,,,10243236.620065155 
 08/16,,,10243236.620065155 
 08/17,,,1371139.5453498703 
 08/18,,,1371139.5453498703 
 08/19,,,10243236.620065155 
 08/20,,,10243236.620065155 
 08/21,,,10243236.620065155 
 08/22,,,10243236.620065155 
 08/23,,,10243236.620065155 
 08/24,,,1371139.5453498703 
 08/25,,,1371139.5453498703 
 08/26,,,10243236.620065155 
 08/27,,,10243236.620065155 
 08/28,,,10243236.620065155 
 08/29,,,10243236.620065155 
 08/30,,,10243236.620065155 
 08/31,0.0,627233687.8188562,1371139.5453498703 
 09/01,,,1371139.5453498703 
 09/02,,,10243236.620065155 
 09/03,,,10243236.620065155 
 09/04,,,10243236.620065155 
 09/05,,,10243236.620065155 
 09/06,,,10243236.620065155 
 09/07,,,1371139.5453498703 
 09/08,,,1371139.5453498703 
 09/09,,,10243236.620065155 
 09/10,,,10243236.620065155 
 09/11,,,10243236.620065155 
 09/12,,,10243236.620065155 
