Date/Time,Heating:EnergyTransfer [J](Monthly),Cooling:EnergyTransfer [J](Monthly),Electricity:Facility [J](Daily) 
 01/01,,,9048748.208560007 
 01/02,,,9048748.208560007 
 01/03,,,9048748.208560007 
 01/04,,,9048748.208560007 
 01/05,,,1651201.0164964523 
 01/06,,,1651201.0164964523 
 01/07,,,9048748.208560007 
 01/08,,,9048748.208560007 
 01/09,,,9048748.208560007 
 01/10,,,9048748.208560007 
 01/11,,,9048748.208560007 
 01/12,,,1651201.0164964523 
 01/13,,,1651201.0164964523 
 01/14,,,9048748.208560007 
 01/15,,,9048748.208560007 
 01/16,,,9048748.208560007 
 01/17,,,9048748.208560007 
 01/18,,,9048748.208560007 
 01/19,,,1651201.0164964523 
 01/20,,,1651201.0164964523 
 01/21,,,9048748.208560007 
 01/22,,,9048748.208560007 
 01/23,,,9048748.208560007 
 01/24,,,9048748.208560007 
 01/25,,,9048748.208560007 
 01/26,,,1651201.0164964523 
 01/27,,,1651201.0164964523 
 01/28,,,9048748.208560007 
 01/29,,,9048748.208560007 
 01/30,,,9048748.208560007 
 01/31,1956394116.6781595,0.0,9048748.208560007 
 02/01,,,9048748.208560007 
 02/02,,,1651201.0164964523 
 02/03,,,1651201.0164964523 
 02/04,,,9048748.208560007 
 02/05,,,9048748.208560007 
 02/06,,,9048748.208560007 
 02/07,,,9048748.208560007 
 02/08,,,9048748.208560007 
 02/09,,,1651201.0164964523 
 02/10,,,1651201.0164964523 
 02/11,,,9048748.208560007 
 02/12,,,9048748.208560007 
 02/13,,,9048748.208560007 
 02/14,,,9048748.208560007 
 02/15,,,9048748.208560007 
 02/16,,,1651201.0164964523 
 02/17,,,1651201.0164964523 
 02/18,,,9048748.208560007 
 02/19,,,9048748.208560007 
 02/20,,,9048748.208560007 
 02/21,,,9048748.208560007 
 02/22,,,9048748.208560007 
 02/23,,,1651201.0164964523 
 02/24,,,1651201.0164964523 
 02/25,,,9048748.208560007 
 02/26,,,9048748.208560007 
 02/27,,,9048748.208560007 
 02/28,1318081151.6181383,72381.0290771951,9048748.208560007 
 03/01,,,9048748.208560007 
 03/02,,,1651201.0164964523 
 03/03,,,1651201.0164964523 
 03/04,,,9048748.208560007 
 03/05,,,9048748.208560007 
 03/06,,,9048748.208560007 
 03/07,,,9048748.208560007 
 03/08,,,9048748.208560007 
 03/09,,,1651201.0164964523 
 03/10,,,1651201.0164964523 
 03/11,,,9048748.208560007 
 03/12,,,9048748.208560007 
 03/13,,,9048748.208560007 
 03/14,,,9048748.208560007 
 03/15,,,9048748.208560007 
 03/16,,,1651201.0164964523 
 03/17,,,1651201.0164964523 
 03/18,,,9048748.208560007 
 03/19,,,9048748.208560007 
 03/20,,,9048748.208560007 
 03/21,,,9048748.208560007 
 03/22,,,9048748.208560007 
 03/23,,,1651201.0164964523 
 03/24,,,1651201.0164964523 
 03/25,,,9048748.208560007 
 03/26,,,9048748.208560007 
 03/27,,,9048748.208560007 
 03/28,,,9048748.208560007 
 03/29,,,9048748.208560007 
 03/30,,,1651201.0164964523 
 03/31,1144705069.5715203,305210.8568518305,1651201.0164964523 
 04/01,,,9048748.208560007 
 04/02,,,9048748.208560007 
 04/03,,,9048748.208560007 
 04/04,,,9048748.208560007 
 04/05,,,9048748.208560007 
 04/06,,,1651201.0164964523 
 04/07,,,1651201.0164964523 
 04/08,,,9048748.208560007 
 04/09,,,9048748.208560007 
 04/10,,,9048748.208560007 
 04/11,,,9048748.208560007 
 04/12,,,9048748.208560007 
 04/13,,,1651201.0164964523 
 04/14,,,1651201.0164964523 
 04/15,,,9048748.208560007 
 04/16,,,9048748.208560007 
 04/17,,,9048748.208560007 
 04/18,,,9048748.208560007 
 04/19,,,9048748.208560007 
 04/20,,,1651201.0164964523 
 04/21,,,1651201.0164964523 
 04/22,,,9048748.208560007 
 04/23,,,9048748.208560007 
 04/24,,,9048748.208560007 
 04/25,,,9048748.208560007 
 04/26,,,9048748.208560007 
 04/27,,,1651201.0164964523 
 04/28,,,1651201.0164964523 
 04/29,,,9048748.208560007 
 04/30,463479843.4699213,21282164.85416035,9048748.208560007 
 05/01,,,9048748.208560007 
 05/02,,,9048748.208560007 
 05/03,,,9048748.208560007 
 05/04,,,1651201.0164964523 
 05/05,,,1651201.0164964523 
 05/06,,,9048748.208560007 
 05/07,,,9048748.208560007 
 05/08,,,9048748.208560007 
 05/09,,,9048748.208560007 
 05/10,,,9048748.208560007 
 05/11,,,1651201.0164964523 
 05/12,,,1651201.0164964523 
 05/13,,,9048748.208560007 
 05/14,,,9048748.208560007 
 05/15,,,9048748.208560007 
 05/16,,,9048748.208560007 
 05/17,,,9048748.208560007 
 05/18,,,1651201.0164964523 
 05/19,,,1651201.0164964523 
 05/20,,,9048748.208560007 
 05/21,,,9048748.208560007 
 05/22,,,9048748.208560007 
 05/23,,,9048748.208560007 
 05/24,,,9048748.208560007 
 05/25,,,1651201.0164964523 
 05/26,,,1651201.0164964523 
 05/27,,,9048748.208560007 
 05/28,,,9048748.208560007 
 05/29,,,9048748.208560007 
 05/30,,,9048748.208560007 
 05/31,44721594.22991045,223132738.85597354,9048748.208560007 
 06/01,,,1651201.0164964523 
 06/02,,,1651201.0164964523 
 06/03,,,9048748.208560007 
 06/04,,,9048748.208560007 
 06/05,,,9048748.208560007 
 06/06,,,9048748.208560007 
 06/07,,,9048748.208560007 
 06/08,,,1651201.0164964523 
 06/09,,,1651201.0164964523 
 06/10,,,9048748.208560007 
 06/11,,,9048748.208560007 
 06/12,,,9048748.208560007 
 06/13,,,9048748.208560007 
 06/14,,,9048748.208560007 
 06/15,,,1651201.0164964523 
