Date/Time,Heating:EnergyTransfer [J](Monthly),Cooling:EnergyTransfer [J](Monthly),Electricity:Facility [J](Daily) 
 01/01,,,10450460.807684176 
 01/02,,,10450460.807684176 
 01/03,,,10450460.807684176 
 01/04,,,10450460.807684176 
 01/05,,,1617718.1485002404 
 01/06,,,1617718.1485002404 
 01/07,,,10450460.807684176 
 01/08,,,10450460.807684176 
 01/09,,,10450460.807684176 
 01/10,,,10450460.807684176 
 01/11,,,10450460.807684176 
 01/12,,,1617718.1485002404 
 01/13,,,1617718.1485002404 
 01/14,,,10450460.807684176 
 01/15,,,10450460.807684176 
 01/16,,,10450460.807684176 
 01/17,,,10450460.807684176 
 01/18,,,10450460.807684176 
 01/19,,,1617718.1485002404 
 01/20,,,1617718.1485002404 
 01/21,,,10450460.807684176 
 01/22,,,10450460.807684176 
 01/23,,,10450460.807684176 
 01/24,,,10450460.807684176 
 01/25,,,10450460.807684176 
 01/26,,,1617718.1485002404 
 01/27,,,1617718.1485002404 
 01/28,,,10450460.807684176 
 01/29,,,10450460.807684176 
 01/30,,,10450460.807684176 
 01/31,1923447759.8428073,0.0,10450460.807684176 
 02/01,,,10450460.807684176 
 02/02,,,1617718.1485002404 
 02/03,,,1617718.1485002404 
 02/04,,,10450460.807684176 
 02/05,,,10450460.807684176 
 02/06,,,10450460.807684176 
 02/07,,,10450460.807684176 
 02/08,,,10450460.807684176 
 02/09,,,1617718.1485002404 
 02/10,,,1617718.1485002404 
 02/11,,,10450460.807684176 
 02/12,,,10450460.807684176 
 02/13,,,10450460.807684176 
 02/14,,,10450460.807684176 
 02/15,,,10450460.807684176 
 02/16,,,1617718.1485002404 
 02/17,,,1617718.1485002404 
 02/18,,,10450460.807684176 
 02/19,,,10450460.807684176 
 02/20,,,10450460.807684176 
 02/21,,,10450460.807684176 
 02/22,,,10450460.807684176 
 02/23,,,1617718.1485002404 
 02/24,,,1617718.1485002404 
 02/25,,,10450460.807684176 
 02/26,,,10450460.807684176 
 02/27,,,10450460.807684176 
 02/28,1333311575.7171378,0.0,10450460.807684176 
 03/01,,,10450460.807684176 
 03/02,,,1617718.1485002404 
 03/03,,,1617718.1485002404 
 03/04,,,10450460.807684176 
 03/05,,,10450460.807684176 
 03/06,,,10450460.807684176 
 03/07,,,10450460.807684176 
 03/08,,,10450460.807684176 
 03/09,,,1617718.1485002404 
 03/10,,,1617718.1485002404 
 03/11,,,10450460.807684176 
 03/12,,,10450460.807684176 
 03/13,,,10450460.807684176 
 03/14,,,10450460.807684176 
 03/15,,,10450460.807684176 
 03/16,,,1617718.1485002404 
 03/17,,,1617718.1485002404 
 03/18,,,10450460.807684176 
 03/19,,,10450460.807684176 
 03/20,,,10450460.807684176 
 03/21,,,10450460.807684176 
 03/22,,,10450460.807684176 
 03/23,,,1617718.1485002404 
 03/24,,,1617718.1485002404 
 03/25,,,10450460.807684176 
 03/26,,,10450460.807684176 
 03/27,,,10450460.807684176 
 03/28,,,10450460.807684176 
 03/29,,,10450460.807684176 
 03/30,,,1617718.1485002404 
 03/31,1044724540.0253261,0.0,1617718.1485002404 
 04/01,,,10450460.807684176 
 04/02,,,10450460.807684176 
 04/03,,,10450460.807684176 
 04/04,,,10450460.807684176 
 04/05,,,10450460.807684176 
 04/06,,,1617718.1485002404 
 04/07,,,1617718.1485002404 
 04/08,,,10450460.807684176 
 04/09,,,10450460.807684176 
 04/10,,,10450460.807684176 
 04/11,,,10450460.807684176 
 04/12,,,10450460.807684176 
 04/13,,,1617718.1485002404 
 04/14,,,1617718.1485002404 
 04/15,,,10450460.807684176 
 04/16,,,10450460.807684176 
 04/17,,,10450460.807684176 
 04/18,,,10450460.807684176 
 04/19,,,10450460.807684176 
 04/20,,,1617718.1485002404 
 04/21,,,1617718.1485002404 
 04/22,,,10450460.807684176 
 04/23,,,10450460.807684176 
 04/24,,,10450460.807684176 
 04/25,,,10450460.807684176 
 04/26,,,10450460.807684176 
 04/27,,,1617718.1485002404 
 04/28,,,1617718.1485002404 
 04/29,,,10450460.807684176 
 04/30,492950032.36174124,0.0,10450460.807684176 
 05/01,,,10450460.807684176 
 05/02,,,10450460.807684176 
 05/03,,,10450460.807684176 
 05/04,,,1617718.1485002404 
 05/05,,,1617718.1485002404 
 05/06,,,10450460.807684176 
 05/07,,,10450460.807684176 
 05/08,,,10450460.807684176 
 05/09,,,10450460.807684176 
 05/10,,,10450460.807684176 
 05/11,,,1617718.1485002404 
 05/12,,,1617718.1485002404 
 05/13,,,10450460.807684176 
 05/14,,,10450460.807684176 
 05/15,,,10450460.807684176 
 05/16,,,10450460.807684176 
 05/17,,,10450460.807684176 
 05/18,,,1617718.1485002404 
 05/19,,,1617718.1485002404 
 05/20,,,10450460.807684176 
 05/21,,,10450460.807684176 
 05/22,,,10450460.807684176 
 05/23,,,10450460.807684176 
 05/24,,,10450460.807684176 
 05/25,,,1617718.1485002404 
 05/26,,,1617718.1485002404 
 05/27,,,10450460.807684176 
 05/28,,,10450460.807684176 
 05/29,,,10450460.807684176 
 05/30,,,10450460.807684176 
 05/31,32530352.886937264,64278637.796258666,10450460.807684176 
 06/01,,,1617718.1485002404 
 06/02,,,1617718.1485002404 
 06/03,,,10450460.807684176 
 06/04,,,10450460.807684176 
 06/05,,,10450460.807684176 
 06/06,,,10450460.807684176 
 06/07,,,10450460.807684176 
 06/08,,,1617718.1485002404 
 06/09,,,1617718.1485002404 
 06/10,,,10450460.807684176 
 06/11,,,10450460.807684176 
 06/12,,,10450460.807684176 
 06/13,,,10450460.807684176 
 06/14,,,10450460.807684176 
 06/15,,,1617718.1485002404 
 06/16,,,1617718.1485002404 
 06/17,,,10450460.807684176 
 06/18,,,10450460.807684176 
 06/19,,,10450460.807684176 
 06/20,,,10450460.807684176 
 06/21,,,10450460.807684176 
 06/22,,,1617718.1485002404 
 06/23,,,1617718.1485002404 
 06/24,,,10450460.807684176 
 06/25,,,10450460.807684176 
 06/26,,,10450460.807684176 
 06/27,,,10450460.807684176 
 06/28,,,10450460.807684176 
 06/29,,,1617718.1485002404 
 06/30,2004653.6346319756,328047469.3146349,1617718.1485002404 
 07/01,,,10450460.807684176 
 07/02,,,10450460.807684176 
 07/03,,,10450460.807684176 
 07/04,,,10450460.807684176 
 07/05,,,10450460.807684176 
 07/06,,,1617718.1485002404 
 07/07,,,1617718.1485002404 
 07/08,,,10450460.807684176 
 07/09,,,10450460.807684176 
 07/10,,,10450460.807684176 
 07/11,,,10450460.807684176 
 07/12,,,10450460.807684176 
 07/13,,,1617718.1485002404 
 07/14,,,1617718.1485002404 
 07/15,,,10450460.807684176 
 07/16,,,10450460.807684176 
 07/17,,,10450460.807684176 
 07/18,,,10450460.807684176 
 07/19,,,10450460.807684176 
 07/20,,,1617718.1485002404 
 07/21,,,1617718.1485002404 
 07/22,,,10450460.807684176 
 07/23,,,10450460.807684176 
 07/24,,,10450460.807684176 
 07/25,,,10450460.807684176 
 07/26,,,10450460.807684176 
 07/27,,,1617718.1485002404 
 07/28,,,1617718.1485002404 
 07/29,,,10450460.807684176 
 07/30,,,10450460.807684176 
 07/31,0.0,532947422.9706441,10450460.807684176 
 08/01,,,10450460.807684176 
 08/02,,,10450460.807684176 
 08/03,,,1617718.1485002404 
 08/04,,,1617718.1485002404 
 08/05,,,10450460.807684176 
 08/06,,,10450460.807684176 
 08/07,,,10450460.807684176 
 08/08,,,10450460.807684176 
 08/09,,,10450460.807684176 
 08/10,,,1617718.1485002404 
 08/11,,,1617718.1485002404 
 08/12,,,10450460.807684176 
 08/13,,,10450460.807684176 
 08/14,,,10450460.807684176 
 08/15,,,10450460.807684176 
 08/16,,,10450460.807684176 
 08/17,,,1617718.1485002404 
 08/18,,,1617718.1485002404 
 08/19,,,10450460.807684176 
 08/20,,,10450460.807684176 
 08/21,,,10450460.807684176 
 08/22,,,10450460.807684176 
 08/23,,,10450460.807684176 
 08/24,,,1617718.1485002404 
 08/25,,,1617718.1485002404 
 08/26,,,10450460.807684176 
 08/27,,,10450460.807684176 
 08/28,,,10450460.807684176 
 08/29,,,10450460.807684176 
 08/30,,,10450460.807684176 
 08/31,0.0,399143657.1591143,1617718.1485002404 
 09/01,,,1617718.1485002404 
 09/02,,,10450460.807684176 
 09/03,,,10450460.807684176 
 09/04,,,10450460.807684176 
 09/05,,,10450460.807684176 
 09/06,,,10450460.807684176 
 09/07,,,1617718.1485002404 
 09/08,,,1617718.1485002404 
 09/09,,,10450460.807684176 
 09/10,,,10450460.807684176 
 09/11,,,10450460.807684176 
 09/12,,,10450460.807684176 
 09/13,,,10450460.807684176 
