Date/Time,Heating:EnergyTransfer [J](Monthly),Cooling:EnergyTransfer [J](Monthly),Electricity:Facility [J](Daily) 
 01/01,,,11891605.116954958 
 01/02,,,11891605.116954958 
 01/03,,,11891605.116954958 
 01/04,,,11891605.116954958 
 01/05,,,1707076.6061845778 
 01/06,,,1707076.6061845778 
 01/07,,,11891605.116954958 
 01/08,,,11891605.116954958 
 01/09,,,11891605.116954958 
 01/10,,,11891605.116954958 
 01/11,,,11891605.116954958 
 01/12,,,1707076.6061845778 
 01/13,,,1707076.6061845778 
 01/14,,,11891605.116954958 
 01/15,,,11891605.116954958 
 01/16,,,11891605.116954958 
 01/17,,,11891605.116954958 
 01/18,,,11891605.116954958 
 01/19,,,1707076.6061845778 
 01/20,,,1707076.6061845778 
 01/21,,,11891605.116954958 
 01/22,,,11891605.116954958 
 01/23,,,11891605.116954958 
 01/24,,,11891605.116954958 
 01/25,,,11891605.116954958 
 01/26,,,1707076.6061845778 
 01/27,,,1707076.6061845778 
 01/28,,,11891605.116954958 
 01/29,,,11891605.116954958 
 01/30,,,11891605.116954958 
 01/31,2018337420.0060751,0.0,11891605.116954958 
 02/01,,,11891605.116954958 
 02/02,,,1707076.6061845778 
 02/03,,,1707076.6061845778 
 02/04,,,11891605.116954958 
 02/05,,,11891605.116954958 
 02/06,,,11891605.116954958 
 02/07,,,11891605.116954958 
 02/08,,,11891605.116954958 
 02/09,,,1707076.6061845778 
 02/10,,,1707076.6061845778 
 02/11,,,11891605.116954958 
 02/12,,,11891605.116954958 
 02/13,,,11891605.116954958 
 02/14,,,11891605.116954958 
 02/15,,,11891605.116954958 
 02/16,,,1707076.6061845778 
 02/17,,,1707076.6061845778 
 02/18,,,11891605.116954958 
 02/19,,,11891605.116954958 
 02/20,,,11891605.116954958 
 02/21,,,11891605.116954958 
 02/22,,,11891605.116954958 
 02/23,,,1707076.6061845778 
 02/24,,,1707076.6061845778 
 02/25,,,11891605.116954958 
 02/26,,,11891605.116954958 
 02/27,,,11891605.116954958 
 02/28,1377351857.2806334,0.0,11891605.116954958 
 03/01,,,11891605.116954958 
 03/02,,,1707076.6061845778 
 03/03,,,1707076.6061845778 
 03/04,,,11891605.116954958 
 03/05,,,11891605.116954958 
 03/06,,,11891605.116954958 
 03/07,,,11891605.116954958 
 03/08,,,11891605.116954958 
