Date/Time,Heating:EnergyTransfer [J](Monthly),Cooling:EnergyTransfer [J](Monthly),Electricity:Facility [J](Daily) 
 01/01,,,3953416.079832135 
 01/02,,,3953416.079832135 
 01/03,,,3953416.079832135 
 01/04,,,3953416.079832135 
 01/05,,,5310047.594228612 
 01/06,,,5310047.594228612 
 01/07,,,3953416.079832135 
 01/08,,,3953416.079832135 
 01/09,,,3953416.079832135 
 01/10,,,3953416.079832135 
 01/11,,,3953416.079832135 
 01/12,,,5310047.594228612 
 01/13,,,5310047.594228612 
 01/14,,,3953416.079832135 
 01/15,,,3953416.079832135 
 01/16,,,3953416.079832135 
 01/17,,,3953416.079832135 
 01/18,,,3953416.079832135 
 01/19,,,5310047.594228612 
 01/20,,,5310047.594228612 
 01/21,,,3953416.079832135 
 01/22,,,3953416.079832135 
 01/23,,,3953416.079832135 
 01/24,,,3953416.079832135 
 01/25,,,3953416.079832135 
 01/26,,,5310047.594228612 
 01/27,,,5310047.594228612 
 01/28,,,3953416.079832135 
 01/29,,,3953416.079832135 
 01/30,,,3953416.079832135 
 01/31,3832736094.89143,66467809.18633521,3953416.079832135 
 02/01,,,3953416.079832135 
 02/02,,,5310047.594228612 
 02/03,,,5310047.594228612 
 02/04,,,3953416.079832135 
 02/05,,,3953416.079832135 
 02/06,,,3953416.079832135 
 02/07,,,3953416.079832135 
 02/08,,,3953416.079832135 
 02/09,,,5310047.594228612 
 02/10,,,5310047.594228612 
 02/11,,,3953416.079832135 
 02/12,,,3953416.079832135 
 02/13,,,3953416.079832135 
 02/14,,,3953416.079832135 
 02/15,,,3953416.079832135 
 02/16,,,5310047.594228612 
 02/17,,,5310047.594228612 
 02/18,,,3953416.079832135 
 02/19,,,3953416.079832135 
 02/20,,,3953416.079832135 
 02/21,,,3953416.079832135 
 02/22,,,3953416.079832135 
 02/23,,,5310047.594228612 
 02/24,,,5310047.594228612 
 02/25,,,3953416.079832135 
 02/26,,,3953416.079832135 
 02/27,,,3953416.079832135 
 02/28,2855251537.5742655,88554997.21507104,3953416.079832135 
 03/01,,,3953416.079832135 
 03/02,,,5310047.594228612 
 03/03,,,5310047.594228612 
 03/04,,,3953416.079832135 
 03/05,,,3953416.079832135 
 03/06,,,3953416.079832135 
 03/07,,,3953416.079832135 
 03/08,,,3953416.079832135 
 03/09,,,5310047.594228612 
 03/10,,,5310047.594228612 
 03/11,,,3953416.079832135 
 03/12,,,3953416.079832135 
 03/13,,,3953416.079832135 
 03/14,,,3953416.079832135 
 03/15,,,3953416.079832135 
 03/16,,,5310047.594228612 
 03/17,,,5310047.594228612 
 03/18,,,3953416.079832135 
 03/19,,,3953416.079832135 
 03/20,,,3953416.079832135 
 03/21,,,3953416.079832135 
 03/22,,,3953416.079832135 
 03/23,,,5310047.594228612 
 03/24,,,5310047.594228612 
 03/25,,,3953416.079832135 
 03/26,,,3953416.079832135 
 03/27,,,3953416.079832135 
 03/28,,,3953416.079832135 
 03/29,,,3953416.079832135 
 03/30,,,5310047.594228612 
 03/31,2423685909.547892,123862786.12088752,5310047.594228612 
 04/01,,,3953416.079832135 
 04/02,,,3953416.079832135 
 04/03,,,3953416.079832135 
 04/04,,,3953416.079832135 
 04/05,,,3953416.079832135 
 04/06,,,5310047.594228612 
 04/07,,,5310047.594228612 
 04/08,,,3953416.079832135 
 04/09,,,3953416.079832135 
 04/10,,,3953416.079832135 
 04/11,,,3953416.079832135 
