Date/Time,Heating:EnergyTransfer [J](Monthly),Cooling:EnergyTransfer [J](Monthly),Electricity:Facility [J](Daily) 
 01/01,,,9440736.141498027 
 01/02,,,9440736.141498027 
 01/03,,,9440736.141498027 
 01/04,,,9440736.141498027 
 01/05,,,1692789.549575384 
 01/06,,,1692789.549575384 
 01/07,,,9440736.141498027 
 01/08,,,9440736.141498027 
 01/09,,,9440736.141498027 
 01/10,,,9440736.141498027 
 01/11,,,9440736.141498027 
 01/12,,,1692789.549575384 
 01/13,,,1692789.549575384 
 01/14,,,9440736.141498027 
 01/15,,,9440736.141498027 
 01/16,,,9440736.141498027 
 01/17,,,9440736.141498027 
 01/18,,,9440736.141498027 
 01/19,,,1692789.549575384 
 01/20,,,1692789.549575384 
 01/21,,,9440736.141498027 
 01/22,,,9440736.141498027 
 01/23,,,9440736.141498027 
 01/24,,,9440736.141498027 
 01/25,,,9440736.141498027 
 01/26,,,1692789.549575384 
 01/27,,,1692789.549575384 
 01/28,,,9440736.141498027 
 01/29,,,9440736.141498027 
 01/30,,,9440736.141498027 
 01/31,1952954540.6644797,0.0,9440736.141498027 
 02/01,,,9440736.141498027 
 02/02,,,1692789.549575384 
 02/03,,,1692789.549575384 
 02/04,,,9440736.141498027 
 02/05,,,9440736.141498027 
 02/06,,,9440736.141498027 
 02/07,,,9440736.141498027 
 02/08,,,9440736.141498027 
 02/09,,,1692789.549575384 
 02/10,,,1692789.549575384 
 02/11,,,9440736.141498027 
 02/12,,,9440736.141498027 
 02/13,,,9440736.141498027 
 02/14,,,9440736.141498027 
 02/15,,,9440736.141498027 
 02/16,,,1692789.549575384 
 02/17,,,1692789.549575384 
 02/18,,,9440736.141498027 
 02/19,,,9440736.141498027 
 02/20,,,9440736.141498027 
 02/21,,,9440736.141498027 
 02/22,,,9440736.141498027 
 02/23,,,1692789.549575384 
 02/24,,,1692789.549575384 
 02/25,,,9440736.141498027 
 02/26,,,9440736.141498027 
 02/27,,,9440736.141498027 
 02/28,1307131342.5221555,3622388.8527295454,9440736.141498027 
 03/01,,,9440736.141498027 
 03/02,,,1692789.549575384 
 03/03,,,1692789.549575384 
 03/04,,,9440736.141498027 
 03/05,,,9440736.141498027 
 03/06,,,9440736.141498027 
 03/07,,,9440736.141498027 
