Date/Time,Heating:EnergyTransfer [J](Monthly),Cooling:EnergyTransfer [J](Monthly),Electricity:Facility [J](Daily) 
 01/01,,,12385294.61143919 
 01/02,,,12385294.61143919 
 01/03,,,12385294.61143919 
 01/04,,,12385294.61143919 
 01/05,,,1734532.8576569043 
 01/06,,,1734532.8576569043 
 01/07,,,12385294.61143919 
 01/08,,,12385294.61143919 
 01/09,,,12385294.61143919 
 01/10,,,12385294.61143919 
 01/11,,,12385294.61143919 
 01/12,,,1734532.8576569043 
 01/13,,,1734532.8576569043 
 01/14,,,12385294.61143919 
 01/15,,,12385294.61143919 
 01/16,,,12385294.61143919 
 01/17,,,12385294.61143919 
 01/18,,,12385294.61143919 
 01/19,,,1734532.8576569043 
 01/20,,,1734532.8576569043 
 01/21,,,12385294.61143919 
 01/22,,,12385294.61143919 
 01/23,,,12385294.61143919 
 01/24,,,12385294.61143919 
 01/25,,,12385294.61143919 
 01/26,,,1734532.8576569043 
 01/27,,,1734532.8576569043 
 01/28,,,12385294.61143919 
 01/29,,,12385294.61143919 
 01/30,,,12385294.61143919 
 01/31,1926304200.5671518,0.0,12385294.61143919 
 02/01,,,12385294.61143919 
 02/02,,,1734532.8576569043 
 02/03,,,1734532.8576569043 
 02/04,,,12385294.61143919 
 02/05,,,12385294.61143919 
 02/06,,,12385294.61143919 
 02/07,,,12385294.61143919 
 02/08,,,12385294.61143919 
 02/09,,,1734532.8576569043 
 02/10,,,1734532.8576569043 
 02/11,,,12385294.61143919 
 02/12,,,12385294.61143919 
 02/13,,,12385294.61143919 
 02/14,,,12385294.61143919 
 02/15,,,12385294.61143919 
 02/16,,,1734532.8576569043 
 02/17,,,1734532.8576569043 
 02/18,,,12385294.61143919 
 02/19,,,12385294.61143919 
 02/20,,,12385294.61143919 
 02/21,,,12385294.61143919 
 02/22,,,12385294.61143919 
 02/23,,,1734532.8576569043 
 02/24,,,1734532.8576569043 
 02/25,,,12385294.61143919 
 02/26,,,12385294.61143919 
 02/27,,,12385294.61143919 
 02/28,1302867644.3493583,0.0,12385294.61143919 
 03/01,,,12385294.61143919 
 03/02,,,1734532.8576569043 
 03/03,,,1734532.8576569043 
 03/04,,,12385294.61143919 
 03/05,,,12385294.61143919 
 03/06,,,12385294.61143919 
 03/07,,,12385294.61143919 
 03/08,,,12385294.61143919 
 03/09,,,1734532.8576569043 
 03/10,,,1734532.8576569043 
 03/11,,,12385294.61143919 
 03/12,,,12385294.61143919 
 03/13,,,12385294.61143919 
 03/14,,,12385294.61143919 
 03/15,,,12385294.61143919 
 03/16,,,1734532.8576569043 
 03/17,,,1734532.8576569043 
 03/18,,,12385294.61143919 
 03/19,,,12385294.61143919 
 03/20,,,12385294.61143919 
 03/21,,,12385294.61143919 
 03/22,,,12385294.61143919 
 03/23,,,1734532.8576569043 
 03/24,,,1734532.8576569043 
 03/25,,,12385294.61143919 
 03/26,,,12385294.61143919 
 03/27,,,12385294.61143919 
 03/28,,,12385294.61143919 
 03/29,,,12385294.61143919 
 03/30,,,1734532.8576569043 
 03/31,1037682447.7725915,0.0,1734532.8576569043 
 04/01,,,12385294.61143919 
 04/02,,,12385294.61143919 
 04/03,,,12385294.61143919 
 04/04,,,12385294.61143919 
 04/05,,,12385294.61143919 
 04/06,,,1734532.8576569043 
 04/07,,,1734532.8576569043 
 04/08,,,12385294.61143919 
 04/09,,,12385294.61143919 
 04/10,,,12385294.61143919 
 04/11,,,12385294.61143919 
 04/12,,,12385294.61143919 
 04/13,,,1734532.8576569043 
 04/14,,,1734532.8576569043 
 04/15,,,12385294.61143919 
 04/16,,,12385294.61143919 
 04/17,,,12385294.61143919 
 04/18,,,12385294.61143919 
 04/19,,,12385294.61143919 
 04/20,,,1734532.8576569043 
 04/21,,,1734532.8576569043 
 04/22,,,12385294.61143919 
 04/23,,,12385294.61143919 
 04/24,,,12385294.61143919 
 04/25,,,12385294.61143919 
 04/26,,,12385294.61143919 
 04/27,,,1734532.8576569043 
 04/28,,,1734532.8576569043 
 04/29,,,12385294.61143919 
 04/30,473094047.3190519,0.0,12385294.61143919 
 05/01,,,12385294.61143919 
 05/02,,,12385294.61143919 
 05/03,,,12385294.61143919 
 05/04,,,1734532.8576569043 
 05/05,,,1734532.8576569043 
 05/06,,,12385294.61143919 
 05/07,,,12385294.61143919 
 05/08,,,12385294.61143919 
 05/09,,,12385294.61143919 
 05/10,,,12385294.61143919 
 05/11,,,1734532.8576569043 
 05/12,,,1734532.8576569043 
 05/13,,,12385294.61143919 
 05/14,,,12385294.61143919 
 05/15,,,12385294.61143919 
 05/16,,,12385294.61143919 
 05/17,,,12385294.61143919 
 05/18,,,1734532.8576569043 
 05/19,,,1734532.8576569043 
 05/20,,,12385294.61143919 
 05/21,,,12385294.61143919 
 05/22,,,12385294.61143919 
 05/23,,,12385294.61143919 
 05/24,,,12385294.61143919 
 05/25,,,1734532.8576569043 
 05/26,,,1734532.8576569043 
 05/27,,,12385294.61143919 
 05/28,,,12385294.61143919 
 05/29,,,12385294.61143919 
 05/30,,,12385294.61143919 
 05/31,42960092.9194958,113511216.93152803,12385294.61143919 
 06/01,,,1734532.8576569043 
 06/02,,,1734532.8576569043 
 06/03,,,12385294.61143919 
 06/04,,,12385294.61143919 
 06/05,,,12385294.61143919 
 06/06,,,12385294.61143919 
 06/07,,,12385294.61143919 
 06/08,,,1734532.8576569043 
 06/09,,,1734532.8576569043 
 06/10,,,12385294.61143919 
 06/11,,,12385294.61143919 
 06/12,,,12385294.61143919 
 06/13,,,12385294.61143919 
 06/14,,,12385294.61143919 
 06/15,,,1734532.8576569043 
 06/16,,,1734532.8576569043 
 06/17,,,12385294.61143919 
 06/18,,,12385294.61143919 
 06/19,,,12385294.61143919 
 06/20,,,12385294.61143919 
 06/21,,,12385294.61143919 
 06/22,,,1734532.8576569043 
 06/23,,,1734532.8576569043 
 06/24,,,12385294.61143919 
 06/25,,,12385294.61143919 
 06/26,,,12385294.61143919 
 06/27,,,12385294.61143919 
 06/28,,,12385294.61143919 
 06/29,,,1734532.8576569043 
 06/30,2019278.6589882425,380951744.23522305,1734532.8576569043 
 07/01,,,12385294.61143919 
 07/02,,,12385294.61143919 
 07/03,,,12385294.61143919 
 07/04,,,12385294.61143919 
 07/05,,,12385294.61143919 
 07/06,,,1734532.8576569043 
 07/07,,,1734532.8576569043 
 07/08,,,12385294.61143919 
 07/09,,,12385294.61143919 
 07/10,,,12385294.61143919 
 07/11,,,12385294.61143919 
 07/12,,,12385294.61143919 
 07/13,,,1734532.8576569043 
 07/14,,,1734532.8576569043 
 07/15,,,12385294.61143919 
 07/16,,,12385294.61143919 
 07/17,,,12385294.61143919 
 07/18,,,12385294.61143919 
 07/19,,,12385294.61143919 
 07/20,,,1734532.8576569043 
 07/21,,,1734532.8576569043 
 07/22,,,12385294.61143919 
 07/23,,,12385294.61143919 
 07/24,,,12385294.61143919 
 07/25,,,12385294.61143919 
 07/26,,,12385294.61143919 
 07/27,,,1734532.8576569043 
 07/28,,,1734532.8576569043 
 07/29,,,12385294.61143919 
 07/30,,,12385294.61143919 
 07/31,0.0,580168593.1363183,12385294.61143919 
 08/01,,,12385294.61143919 
 08/02,,,12385294.61143919 
 08/03,,,1734532.8576569043 
 08/04,,,1734532.8576569043 
 08/05,,,12385294.61143919 
 08/06,,,12385294.61143919 
 08/07,,,12385294.61143919 
 08/08,,,12385294.61143919 
 08/09,,,12385294.61143919 
 08/10,,,1734532.8576569043 
 08/11,,,1734532.8576569043 
 08/12,,,12385294.61143919 
 08/13,,,12385294.61143919 
 08/14,,,12385294.61143919 
 08/15,,,12385294.61143919 
 08/16,,,12385294.61143919 
 08/17,,,1734532.8576569043 
 08/18,,,1734532.8576569043 
 08/19,,,12385294.61143919 
 08/20,,,12385294.61143919 
 08/21,,,12385294.61143919 
 08/22,,,12385294.61143919 
 08/23,,,12385294.61143919 
 08/24,,,1734532.8576569043 
 08/25,,,1734532.8576569043 
 08/26,,,12385294.61143919 
 08/27,,,12385294.61143919 
 08/28,,,12385294.61143919 
 08/29,,,12385294.61143919 
 08/30,,,12385294.61143919 
 08/31,0.0,449958624.0887431,1734532.8576569043 
 09/01,,,1734532.8576569043 
 09/02,,,12385294.61143919 
 09/03,,,12385294.61143919 
 09/04,,,12385294.61143919 
 09/05,,,12385294.61143919 
 09/06,,,12385294.61143919 
 09/07,,,1734532.8576569043 
 09/08,,,1734532.8576569043 
 09/09,,,12385294.61143919 
 09/10,,,12385294.61143919 
 09/11,,,12385294.61143919 
 09/12,,,12385294.61143919 
 09/13,,,12385294.61143919 
 09/14,,,1734532.8576569043 
 09/15,,,1734532.8576569043 
 09/16,,,12385294.61143919 
 09/17,,,12385294.61143919 
 09/18,,,12385294.61143919 
 09/19,,,12385294.61143919 
 09/20,,,12385294.61143919 
 09/21,,,1734532.8576569043 
 09/22,,,1734532.8576569043 
 09/23,,,12385294.61143919 
 09/24,,,12385294.61143919 
 09/25,,,12385294.61143919 
 09/26,,,12385294.61143919 
 09/27,,,12385294.61143919 
 09/28,,,1734532.8576569043 
 09/29,,,1734532.8576569043 
 09/30,38841103.54986933,101565056.5196593,12385294.61143919 
 10/01,,,12385294.61143919 
 10/02,,,12385294.61143919 
 10/03,,,12385294.61143919 
 10/04,,,12385294.61143919 
 10/05,,,1734532.8576569043 
 10/06,,,1734532.8576569043 
 10/07,,,12385294.61143919 
 10/08,,,12385294.61143919 
 10/09,,,12385294.61143919 
 10/10,,,12385294.61143919 
 10/11,,,12385294.61143919 
 10/12,,,1734532.8576569043 
 10/13,,,1734532.8576569043 
 10/14,,,12385294.61143919 
 10/15,,,12385294.61143919 
 10/16,,,12385294.61143919 
 10/17,,,12385294.61143919 
 10/18,,,12385294.61143919 
 10/19,,,1734532.8576569043 
 10/20,,,1734532.8576569043 
 10/21,,,12385294.61143919 
 10/22,,,12385294.61143919 
 10/23,,,12385294.61143919 
 10/24,,,12385294.61143919 
 10/25,,,12385294.61143919 
 10/26,,,1734532.8576569043 
 10/27,,,1734532.8576569043 
 10/28,,,12385294.61143919 
 10/29,,,12385294.61143919 
 10/30,,,12385294.61143919 
 10/31,469048282.7081696,0.0,12385294.61143919 
 11/01,,,12385294.61143919 
 11/02,,,1734532.8576569043 
 11/03,,,1734532.8576569043 
 11/04,,,12385294.61143919 
 11/05,,,12385294.61143919 
 11/06,,,12385294.61143919 
 11/07,,,12385294.61143919 
 11/08,,,12385294.61143919 
 11/09,,,1734532.8576569043 
 11/10,,,1734532.8576569043 
 11/11,,,12385294.61143919 
 11/12,,,12385294.61143919 
 11/13,,,12385294.61143919 
 11/14,,,12385294.61143919 
 11/15,,,12385294.61143919 
 11/16,,,1734532.8576569043 
 11/17,,,1734532.8576569043 
 11/18,,,12385294.61143919 
 11/19,,,12385294.61143919 
 11/20,,,12385294.61143919 
 11/21,,,12385294.61143919 
 11/22,,,12385294.61143919 
 11/23,,,1734532.8576569043 
 11/24,,,1734532.8576569043 
 11/25,,,12385294.61143919 
 11/26,,,12385294.61143919 
 11/27,,,12385294.61143919 
 11/28,,,12385294.61143919 
 11/29,,,12385294.61143919 
 11/30,961190842.3249213,0.0,1734532.8576569043 
 12/01,,,1734532.8576569043 
 12/02,,,12385294.61143919 
 12/03,,,12385294.61143919 
 12/04,,,12385294.61143919 
 12/05,,,12385294.61143919 
 12/06,,,12385294.61143919 
 12/07,,,1734532.8576569043 
 12/08,,,1734532.8576569043 
 12/09,,,12385294.61143919 
 12/10,,,12385294.61143919 
 12/11,,,12385294.61143919 
 12/12,,,12385294.61143919 
 12/13,,,12385294.61143919 
 12/14,,,1734532.8576569043 
 12/15,,,1734532.8576569043 
 12/16,,,12385294.61143919 
 12/17,,,12385294.61143919 
 12/18,,,12385294.61143919 
 12/19,,,12385294.61143919 
 12/20,,,12385294.61143919 
 12/21,,,1734532.8576569043 
 12/22,,,1734532.8576569043 
 12/23,,,12385294.61143919 
 12/24,,,12385294.61143919 
 12/25,,,12385294.61143919 
 12/26,,,12385294.61143919 
 12/27,,,12385294.61143919 
 12/28,,,1734532.8576569043 
 12/29,,,1734532.8576569043 
 12/30,,,12385294.61143919 
 12/31,1760117767.4434493,0.0,12385294.61143919 
