Date/Time,Heating:EnergyTransfer [J](Monthly),Cooling:EnergyTransfer [J](Monthly),Electricity:Facility [J](Daily) 
 01/01,,,10401657.35400458 
 01/02,,,10401657.35400458 
 01/03,,,10401657.35400458 
 01/04,,,10401657.35400458 
 01/05,,,1511738.8870274373 
 01/06,,,1511738.8870274373 
 01/07,,,10401657.35400458 
 01/08,,,10401657.35400458 
 01/09,,,10401657.35400458 
 01/10,,,10401657.35400458 
 01/11,,,10401657.35400458 
 01/12,,,1511738.8870274373 
 01/13,,,1511738.8870274373 
 01/14,,,10401657.35400458 
 01/15,,,10401657.35400458 
 01/16,,,10401657.35400458 
 01/17,,,10401657.35400458 
 01/18,,,10401657.35400458 
 01/19,,,1511738.8870274373 
 01/20,,,1511738.8870274373 
 01/21,,,10401657.35400458 
 01/22,,,10401657.35400458 
 01/23,,,10401657.35400458 
 01/24,,,10401657.35400458 
 01/25,,,10401657.35400458 
 01/26,,,1511738.8870274373 
 01/27,,,1511738.8870274373 
 01/28,,,10401657.35400458 
 01/29,,,10401657.35400458 
 01/30,,,10401657.35400458 
 01/31,1979237910.341255,0.0,10401657.35400458 
 02/01,,,10401657.35400458 
 02/02,,,1511738.8870274373 
 02/03,,,1511738.8870274373 
 02/04,,,10401657.35400458 
 02/05,,,10401657.35400458 
 02/06,,,10401657.35400458 
 02/07,,,10401657.35400458 
 02/08,,,10401657.35400458 
 02/09,,,1511738.8870274373 
 02/10,,,1511738.8870274373 
 02/11,,,10401657.35400458 
 02/12,,,10401657.35400458 
 02/13,,,10401657.35400458 
 02/14,,,10401657.35400458 
 02/15,,,10401657.35400458 
 02/16,,,1511738.8870274373 
 02/17,,,1511738.8870274373 
 02/18,,,10401657.35400458 
 02/19,,,10401657.35400458 
 02/20,,,10401657.35400458 
 02/21,,,10401657.35400458 
 02/22,,,10401657.35400458 
 02/23,,,1511738.8870274373 
 02/24,,,1511738.8870274373 
 02/25,,,10401657.35400458 
 02/26,,,10401657.35400458 
 02/27,,,10401657.35400458 
 02/28,1364661705.062482,0.0,10401657.35400458 
 03/01,,,10401657.35400458 
 03/02,,,1511738.8870274373 
 03/03,,,1511738.8870274373 
 03/04,,,10401657.35400458 
 03/05,,,10401657.35400458 
 03/06,,,10401657.35400458 
 03/07,,,10401657.35400458 
 03/08,,,10401657.35400458 
 03/09,,,1511738.8870274373 
 03/10,,,1511738.8870274373 
 03/11,,,10401657.35400458 
 03/12,,,10401657.35400458 
 03/13,,,10401657.35400458 
 03/14,,,10401657.35400458 
 03/15,,,10401657.35400458 
 03/16,,,1511738.8870274373 
 03/17,,,1511738.8870274373 
 03/18,,,10401657.35400458 
 03/19,,,10401657.35400458 
 03/20,,,10401657.35400458 
 03/21,,,10401657.35400458 
 03/22,,,10401657.35400458 
 03/23,,,1511738.8870274373 
 03/24,,,1511738.8870274373 
 03/25,,,10401657.35400458 
 03/26,,,10401657.35400458 
 03/27,,,10401657.35400458 
 03/28,,,10401657.35400458 
 03/29,,,10401657.35400458 
 03/30,,,1511738.8870274373 
 03/31,1071606628.2457076,0.0,1511738.8870274373 
 04/01,,,10401657.35400458 
 04/02,,,10401657.35400458 
 04/03,,,10401657.35400458 
 04/04,,,10401657.35400458 
 04/05,,,10401657.35400458 
 04/06,,,1511738.8870274373 
 04/07,,,1511738.8870274373 
 04/08,,,10401657.35400458 
 04/09,,,10401657.35400458 
 04/10,,,10401657.35400458 
 04/11,,,10401657.35400458 
 04/12,,,10401657.35400458 
 04/13,,,1511738.8870274373 
 04/14,,,1511738.8870274373 
 04/15,,,10401657.35400458 
 04/16,,,10401657.35400458 
 04/17,,,10401657.35400458 
 04/18,,,10401657.35400458 
 04/19,,,10401657.35400458 
 04/20,,,1511738.8870274373 
 04/21,,,1511738.8870274373 
 04/22,,,10401657.35400458 
 04/23,,,10401657.35400458 
 04/24,,,10401657.35400458 
 04/25,,,10401657.35400458 
 04/26,,,10401657.35400458 
 04/27,,,1511738.8870274373 
 04/28,,,1511738.8870274373 
 04/29,,,10401657.35400458 
 04/30,505139015.2086244,0.0,10401657.35400458 
 05/01,,,10401657.35400458 
 05/02,,,10401657.35400458 
 05/03,,,10401657.35400458 
 05/04,,,1511738.8870274373 
 05/05,,,1511738.8870274373 
 05/06,,,10401657.35400458 
 05/07,,,10401657.35400458 
 05/08,,,10401657.35400458 
 05/09,,,10401657.35400458 
 05/10,,,10401657.35400458 
 05/11,,,1511738.8870274373 
 05/12,,,1511738.8870274373 
 05/13,,,10401657.35400458 
 05/14,,,10401657.35400458 
 05/15,,,10401657.35400458 
 05/16,,,10401657.35400458 
 05/17,,,10401657.35400458 
 05/18,,,1511738.8870274373 
 05/19,,,1511738.8870274373 
 05/20,,,10401657.35400458 
 05/21,,,10401657.35400458 
 05/22,,,10401657.35400458 
 05/23,,,10401657.35400458 
 05/24,,,10401657.35400458 
 05/25,,,1511738.8870274373 
 05/26,,,1511738.8870274373 
 05/27,,,10401657.35400458 
 05/28,,,10401657.35400458 
 05/29,,,10401657.35400458 
