Date/Time,Heating:EnergyTransfer [J](Monthly),Cooling:EnergyTransfer [J](Monthly),Electricity:Facility [J](Daily) 
 01/01,,,4623529.661200361 
 01/02,,,4623529.661200361 
 01/03,,,4623529.661200361 
 01/04,,,4623529.661200361 
 01/05,,,6210113.496412955 
 01/06,,,6210113.496412955 
 01/07,,,4623529.661200361 
 01/08,,,4623529.661200361 
 01/09,,,4623529.661200361 
 01/10,,,4623529.661200361 
 01/11,,,4623529.661200361 
 01/12,,,6210113.496412955 
 01/13,,,6210113.496412955 
 01/14,,,4623529.661200361 
 01/15,,,4623529.661200361 
 01/16,,,4623529.661200361 
 01/17,,,4623529.661200361 
 01/18,,,4623529.661200361 
 01/19,,,6210113.496412955 
 01/20,,,6210113.496412955 
 01/21,,,4623529.661200361 
 01/22,,,4623529.661200361 
 01/23,,,4623529.661200361 
 01/24,,,4623529.661200361 
 01/25,,,4623529.661200361 
 01/26,,,6210113.496412955 
 01/27,,,6210113.496412955 
 01/28,,,4623529.661200361 
 01/29,,,4623529.661200361 
 01/30,,,4623529.661200361 
 01/31,3940945074.408978,55275790.50797132,4623529.661200361 
 02/01,,,4623529.661200361 
 02/02,,,6210113.496412955 
 02/03,,,6210113.496412955 
 02/04,,,4623529.661200361 
 02/05,,,4623529.661200361 
 02/06,,,4623529.661200361 
 02/07,,,4623529.661200361 
 02/08,,,4623529.661200361 
 02/09,,,6210113.496412955 
 02/10,,,6210113.496412955 
 02/11,,,4623529.661200361 
 02/12,,,4623529.661200361 
 02/13,,,4623529.661200361 
 02/14,,,4623529.661200361 
 02/15,,,4623529.661200361 
 02/16,,,6210113.496412955 
 02/17,,,6210113.496412955 
 02/18,,,4623529.661200361 
 02/19,,,4623529.661200361 
 02/20,,,4623529.661200361 
 02/21,,,4623529.661200361 
 02/22,,,4623529.661200361 
 02/23,,,6210113.496412955 
 02/24,,,6210113.496412955 
 02/25,,,4623529.661200361 
 02/26,,,4623529.661200361 
 02/27,,,4623529.661200361 
