=== CHECK NUMBER OF COLUMNS REPORT ===

File: D:\Documents\E_Plus_2030_py\output\068d807e-222c-4dd4-ae30-221b99b6927b\results_scenarioes\merged_daily_mean_scenarios.csv
  Status: Mismatch
  Found columns: 367
  Expected columns: 10

  -- File Content Start --
BuildingID,VariableName,01/01,01/02,01/03,01/04,01/05,01/06,01/07,01/08
0,Cooling:EnergyTransfer [J](Hourly),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Electricity:Facility [J](Hourly) ,4862247.113194864,4865730.446275092,4976321.976832288,4853107.126644468,4865730.633523211,4918763.562290225,4912991.9488854185,4860434.416266969
0,Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Daily),15.9296875,17.307291666666668,16.630208333333332,14.333333333333334,14.375,14.5703125,16.927083333333332,18.20052083333333
0,Environment:Site Direct Solar Radiation Rate per Area [W/m2](Daily),18.84114583333333,26.854166666666668,62.85416666666666,122.921875,129.13541666666666,132.4921875,4.8203125,80.8359375
0,Environment:Site Outdoor Air Dewpoint Temperature [C](Daily),0.3656249999999998,-0.0374999999999999,0.859375,-0.6007504992247794,-3.617708333333334,-7.080208333333332,-4.572395833333333,-6.389583333333333
0,Environment:Site Outdoor Air Drybulb Temperature [C](Daily),1.2151041666666669,2.891666666666666,3.686458333333334,1.1666666666666663,-2.370833333333333,-4.088541666666665,-3.4229166666666675,-5.505729166666664
0,Environment:Site Outdoor Air Wetbulb Temperature [C](Daily),0.8764377230252083,1.854739388525906,2.7411140405471186,0.3890060654580482,-2.844285270833577,-5.141229228510597,-3.8650041755420497,-5.813797856992925
0,Environment:Site Solar Altitude Angle [deg](Daily),-20.448581620660025,-20.325946072972584,-20.25473323294449,-20.176959693862347,-20.09265613455602,-20.00185613864033,-19.90459616452433,-19.800915512093123
0,Environment:Site Solar Azimuth Angle [deg](Daily),172.1396695724097,171.92100128219806,171.8131188905313,171.70635220439564,171.60081020210075,171.49660012976298,171.39382734271808,171.29259514926343
0,Heating:EnergyTransfer [J](Hourly),12826456.825707424,11571945.37244188,13681839.75781922,18079034.40706994,21541388.491108824,21192351.17381947,23008219.9449566,17851240.33001763
0,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily),34107197.44903519,33574781.00153522,33649773.89767358,33427126.741091304,35989240.22251557,33650526.16288534,33426088.71434195,35637784.5494715
0,SCENARIO_0_WATERHEATER:Water Heater Heating Energy [J](Daily),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Cooling:EnergyTransfer [J](Hourly),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Electricity:Facility [J](Hourly) ,4744182.328591156,4747665.662726332,4858257.193283528,4735042.343095708,4747665.850585252,4800699.608361894,4794926.494808859,4742369.698129047
1,Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Daily),15.9296875,17.307291666666668,16.630208333333332,14.333333333333334,14.375,14.5703125,16.927083333333332,18.20052083333333
1,Environment:Site Direct Solar Radiation Rate per Area [W/m2](Daily),18.84114583333333,26.854166666666668,62.85416666666666,122.921875,129.13541666666666,132.4921875,4.8203125,80.8359375
1,Environment:Site Outdoor Air Dewpoint Temperature [C](Daily),0.3656249999999998,-0.0374999999999999,0.859375,-0.6007504992247794,-3.617708333333334,-7.080208333333332,-4.572395833333333,-6.389583333333333
1,Environment:Site Outdoor Air Drybulb Temperature [C](Daily),1.2151041666666669,2.891666666666666,3.686458333333334,1.1666666666666663,-2.370833333333333,-4.088541666666665,-3.4229166666666675,-5.505729166666664
1,Environment:Site Outdoor Air Wetbulb Temperature [C](Daily),0.8764377230252083,1.854739388525906,2.7411140405471186,0.3890060654580482,-2.844285270833577,-5.141229228510597,-3.8650041755420497,-5.813797856992925
1,Environment:Site Solar Altitude Angle [deg](Daily),-20.448581620660025,-20.325946072972584,-20.25473323294449,-20.176959693862347,-20.09265613455602,-20.00185613864033,-19.90459616452433,-19.800915512093123
1,Environment:Site Solar Azimuth Angle [deg](Daily),172.1396695724097,171.92100128219806,171.8131188905313,171.70635220439564,171.60081020210075,171.49660012976298,171.39382734271808,171.29259514926343
1,Heating:EnergyTransfer [J](Hourly),12921981.743978614,11660087.436353987,13774517.05180054,18173064.008604385,21636238.818532422,21301713.3848492,23112075.556890994,17953319.395269167
1,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily),34107109.7264581,33574781.00153522,33649773.89767358,33427126.741091304,35989240.22251557,33650526.18966387,33426092.166489515,35637799.02087031
1,SCENARIO_1_WATERHEATER:Water Heater Heating Energy [J](Daily),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Cooling:EnergyTransfer [J](Hourly),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Electricity:Facility [J](Hourly) ,4893689.504389893,4897172.836963878,5007764.367521074,4884549.517333253,4897173.024211996,4950205.942995769,4944434.511299349,4891876.790095835
2,Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Daily),15.9296875,17.307291666666668,16.630208333333332,14.333333333333334,14.375,14.5703125,16.927083333333332,18.20052083333333
2,Environment:Site Direct Solar Radiation Rate per Area [W/m2](Daily),18.84114583333333,26.854166666666668,62.85416666666666,122.921875,129.13541666666666,132.4921875,4.8203125,80.8359375
2,Environment:Site Outdoor Air Dewpoint Temperature [C](Daily),0.3656249999999998,-0.0374999999999999,0.859375,-0.6007504992247794,-3.617708333333334,-7.080208333333332,-4.572395833333333,-6.389583333333333
